[1, 10, 1, 0, 20] [0.0, 11.0, 1.0, 0.0, 20.0] 1 -1
[2, 10, 1, 0, 20] [1.0, 11.0, 2.0, 0.0, 20.0] 1 -1
[3, 10, 1, 0, 20] [2.0, 11.0, 2.0, 0.0, 20.0] 1 -1
[4, 10, 1, 0, 20] [3.0, 11.0, 2.0, 0.0, 20.0] 1 -1
[5, 11, 1, 1, 20] [4.0, 11.0, 2.0, 0.0, 20.0] 1 -1
[6, 12, 1, 1, 20] [5.0, 12.0, 2.0, 1.0, 20.0] 1 -1
[7, 13, 1, 1, 20] [6.0, 13.0, 2.0, 1.0, 20.0] 1 -1
[8, 14, 1, 1, 20] [7.0, 14.0, 2.0, 1.0, 20.0] 1 -1
[9, 15, 1, 1, 20] [8.0, 15.0, 2.0, 1.0, 20.0] 1 -1
[10, 16, 1, 1, 20] [9.0, 16.0, 2.0, 1.0, 20.0] 1 -1
[11, 17, 1, 1, 20] [10.0, 17.0, 2.0, 1.0, 20.0] 1 -1
[12, 18, 1, 1, 20] [11.0, 18.0, 1.0, 1.0, 20.0] 1 -1
[13, 19, 1, 1, 20] [12.0, 19.0, 1.0, 1.0, 20.0] 1 -1
[14, 20, 1, 1, 20] [13.0, 20.0, 1.0, 1.0, 20.0] 1 -1
[15, 21, 1, 1, 20] [14.0, 21.0, 2.0, 1.0, 20.0] 1 -1
[16, 22, 1, 1, 20] [15.0, 22.0, 2.0, 1.0, 20.0] 1 -1
[17, 23, 1, 1, 20] [16.0, 23.0, 1.0, 1.0, 20.0] 1 -1
[18, 24, 1, 1, 20] [17.0, 24.0, 1.0, 0.0, 20.0] 1 -1
[19, 25, 1, 1, 20] [18.0, 25.0, 1.0, 1.0, 20.0] 1 -1
[20, 26, 1, 0, 20] [19.0, 26.0, 1.0, 0.0, 20.0] 1 -1
[21, 25, 1, -1, 20] [20.0, 27.0, 1.0, 0.0, 20.0] 1 -1
[22, 24, 1, -1, 20] [21.0, 26.0, 1.0, -1.0, 20.0] 1 -1
[23, 23, 1, -1, 20] [22.0, 25.0, 1.0, -1.0, 20.0] 1 -1
[24, 22, 1, -1, 20] [23.0, 24.0, 1.0, -2.0, 20.0] 1 -1
[25, 21, 1, -1, 20] [24.0, 23.0, 1.0, -2.0, 20.0] 1 -1
[26, 20, 1, -1, 20] [25.0, 22.0, 1.0, -2.0, 20.0] 1 -1
[27, 19, 1, -1, 20] [26.0, 21.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
[27, 19, 1, -1, 20] [27.0, 20.0, 1.0, -2.0, 20.0] 2 -1
