ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch
-220388229120.0,-220388230000.0,80424.03,76020660.0,2661667.5,-22.127382888111832,15853382.0,581760.5,-3557991168.0,-3557991200.0,79456.234,50
-9333536768.0,-9333537000.0,79883.055,17393538.0,679172.5,-11.908431410205498,14380072.0,466254.9,-976642432.0,-976642400.0,79228.31,53
-2036680704.0,-2036680700.0,79597.35,15085256.0,644476.4,-39.803975737185574,10653504.0,476621.12,-279102816.0,-279102820.0,79134.7,56
-565376320.0,-565376300.0,79470.95,13800780.0,820264.3,-21.67028037508614,13472240.0,545384.0,-43898140.0,-43898132.0,79103.375,59
-85224368.0,-85224360.0,79418.95,14202701.0,875816.06,-0.33426373235900986,11187271.0,607268.3,-6237667.5,-6237659.5,79074.2,62
-29003508.0,-29003500.0,79396.54,13336039.0,906668.9,-18.964884465442637,10884527.0,474928.12,-4505573.5,-4505565.5,79062.836,65
-11453681.0,-11453673.0,79381.36,12458158.0,660623.4,-27.64455925213777,9701836.0,505501.8,-2485784.0,-2485776.0,79055.95,68
-3519549.25,-3519541.2,79369.42,11878232.0,740768.4,-23.582799476246226,9192330.0,422994.62,-908313.5,-908305.6,79040.29,71
-3863520.0,-3863512.0,79356.875,10996868.0,812559.56,-17.876307208343388,8462322.0,454902.47,-880506.875,-880499.0,79025.39,74
-1307768.375,-1307760.5,79347.83,11081987.0,642398.7,3.26876338140599,6851592.0,323729.94,-5039364.5,-5039356.5,79001.414,77
-1074995.875,-1074988.0,79332.67,9967876.0,591765.25,-6.2827423576999255,7326540.0,419004.5,-779359.8125,-779351.94,78973.31,80
-959156.125,-959148.2,79314.0,8502608.0,567102.6,-27.447262306750268,5972570.0,266136.62,-689379.875,-689372.0,78921.59,83
-815932.3125,-815924.4,79286.22,7815630.0,424142.6,-24.430087095889288,5826531.5,271202.16,-577843.375,-577835.5,78830.2,86
-648249.375,-648241.44,79248.23,6577571.0,300144.78,-29.2644538581273,4721069.0,286489.3,-513383.875,-513376.0,78776.1,89
-659245.6875,-659237.75,79193.17,6137700.0,360382.44,-8.089694558847171,4481023.0,334442.5,-529589.25,-529581.4,78701.97,92
-560881.6875,-560873.75,79118.21,5577203.0,271068.66,-20.80269488222948,3283639.8,241250.0,-385504.0,-385496.12,78636.87,95
-505332.0625,-505324.16,79013.43,5090315.0,237665.64,-14.241438286666446,2912936.5,135812.38,-289072.21875,-289064.38,78534.81,98
-374903.0625,-374895.2,78880.375,3888822.5,165065.5,-17.487109389356064,1971578.9,121085.086,-215407.171875,-215399.33,78435.11,101
-41552.5546875,-41544.96,75924.95,449086.72,16410.37,-12.236741569268984,1292438.8,76365.61,-139190.734375,-139182.9,78315.66,104
-35204.84765625,-35197.375,74736.13,361868.2,15751.691,-29.920299216203432,1307066.8,60445.297,-129407.6640625,-129399.84,78203.266,107
-33848.078125,-33840.633,74470.56,292601.16,20673.387,-10.34680438075105,1251313.2,73567.94,-134514.71875,-134506.9,78065.86,110
-24816.8359375,-24809.387,74490.56,228108.72,13776.15,-1.7752067487535403,954110.75,81134.31,-119523.703125,-119515.91,77933.97,113
-21841.6015625,-21834.14,74601.34,198039.28,12386.242,-6.378128290908969,610638.6,29552.975,-61377.875,-61370.094,77819.73,116
-569591.375,-569583.9,74773.125,177677.06,11589.137,-8.05140254103241,435970.0,24541.246,-46167.125,-46159.355,77712.24,119
-17223.7734375,-17216.273,75004.89,156698.02,9696.033,0.4752271581801779,318119.47,17886.727,-33689.50390625,-33681.73,77729.59,122
-15420.505859375,-15412.9795,75262.72,136303.72,9070.536,-24.836605107982454,276565.44,18958.275,-31602.736328125,-31594.959,77769.28,125
-11682.0693359375,-11674.513,75568.73,102709.47,6905.212,-24.792370621839588,166094.1,10412.807,-18344.896484375,-18337.107,77894.54,128
-8694.716796875,-8687.125,75921.46,79889.805,4772.3843,-37.254368259096175,159111.52,8954.83,-16885.84375,-16878.035,78076.44,131
-5834.32177734375,-5826.6904,76313.96,60111.824,2522.9985,-30.816979182010943,122824.055,5500.9883,-12093.2451171875,-12085.414,78308.69,134
-3849.029052734375,-3841.354,76751.56,42018.367,1398.392,-33.258300272941,81398.125,3653.9995,-8040.2646484375,-8032.4053,78594.05,137
-2731.451904296875,-2723.728,77238.02,27990.963,1149.4922,-32.22328161957114,51044.11,1679.8875,-4650.47314453125,-4642.5864,78866.7,140
-1742.9891357421875,-1735.2114,77776.766,17782.96,709.45154,-28.81161677110134,64235.652,2462.377,-6072.63720703125,-6064.7188,79186.84,143
-1042.076416015625,-1034.2413,78350.55,11153.184,336.5277,-16.656112330059656,27660.2,797.44806,-2471.078857421875,-2463.126,79528.125,146
-601.6400756835938,-593.74304,78970.08,5938.249,207.04788,17.05677201059368,24466.723,1098.8098,-2458.946533203125,-2450.9553,79910.9,149
-411.0113830566406,-403.05035,79610.33,3967.4001,122.32495,-15.030632590599206,19638.426,695.82764,-1859.5791015625,-1851.5476,80314.77,152
-261.8835144042969,-253.86218,80213.28,2184.4548,80.14754,-21.40333244147145,17290.703,455.32477,-1538.013427734375,-1529.9401,80733.84,155
-242.4411163330078,-234.35886,80822.625,2064.8076,63.289993,-7.7198077673219165,7997.51,144.85918,-699.1241455078125,-691.0068,81174.0,158
-156.9402313232422,-148.8094,81308.336,975.85956,45.758865,-21.0819252945165,5082.3086,101.18917,-472.355712890625,-464.1915,81642.17,161
-121.81351470947266,-113.634674,81788.42,594.9366,31.869549,2.457696546294967,4483.71,81.4395,-418.5323791503906,-410.32162,82107.65,164
-97.58479309082031,-89.36014,82246.55,352.3615,20.253887,-19.73799347290912,2413.4458,52.548843,-258.9345703125,-250.68207,82524.91,167
-83.85472106933594,-75.59243,82622.91,189.13596,16.23037,-11.373131430049419,1222.3336,20.245125,-156.5146026611328,-148.22318,82914.22,170
-77.39874267578125,-69.112976,82857.69,140.62933,11.50562,-39.04022679178943,681.7379,17.795858,-118.30810546875,-109.98497,83231.375,173
-72.36213684082031,-64.07764,82844.984,78.813126,10.245958,-1.3897091197790299,368.1641,17.396145,-96.83454895019531,-88.4957,83388.5,176
-72.05834197998047,-63.809017,82493.22,108.7095,6.8593483,-24.546734276828484,272.5749,7.4907074,-83.63082885742188,-75.32463,83061.95,179
-66.9817123413086,-58.79329,81884.24,50.028854,5.315115,-12.37346446555417,106.44005,4.7360353,-70.48666381835938,-62.21865,82680.164,182
-63.81782531738281,-55.72965,80881.766,34.733627,2.3171568,-0.1873487444088411,100.77272,3.5555403,-69.23079681396484,-61.036346,81944.54,185
-64.21537017822266,-56.26925,79461.22,43.776115,2.2103305,-23.87670156661439,4955.726,399.6634,-665.6865844726562,-657.59644,80901.22,188
-62.50206756591797,-54.70846,77936.06,24.238358,1.8575697,-10.38972376591807,2884.1223,221.26025,-404.76190185546875,-396.69467,80672.36,191
-61.57931900024414,-53.96714,76121.77,18.764322,1.3094302,-26.608637058205446,1877.646,132.84671,-276.81427001953125,-268.76144,80528.39,194
-70.5784912109375,-63.148018,74304.734,118.0759,4.9458795,-13.81280374004277,1221.1086,66.38037,-187.3936004638672,-179.35892,80346.805,197
-66.97419738769531,-59.62909,73451.086,61.207447,5.432413,-12.269096353044617,779.49133,53.826015,-148.98971557617188,-140.98048,80092.28,200
-77.31257629394531,-69.61705,76955.234,171.48178,9.165306,-15.683844962392378,403.46558,25.17892,-104.12364196777344,-96.150894,79727.516,203
-67.74405670166016,-60.54588,71981.8,95.32624,3.3753748,-6.193661423340881,335.72034,17.982508,-94.62158203125,-86.69709,79244.96,206
-65.91012573242188,-58.862217,70479.086,84.54555,1.9653107,-15.054294883138144,228.81534,11.129368,-82.6934585571289,-74.825714,78677.43,209
-64.36068725585938,-57.430984,69297.05,60.96441,2.208327,1.8754357369540635,123.52392,5.502507,-71.69698333740234,-63.893333,78036.5,212
-61.64955520629883,-54.838184,68113.7,35.31449,0.9416518,-19.586042524131027,72.564514,2.2387276,-65.96591186523438,-58.236504,77294.07,215
-61.04059600830078,-54.363205,66773.93,27.75253,0.9959253,-3.743040244953166,33.03115,3.1313982,-63.80536651611328,-56.16542,76399.47,218
-59.723175048828125,-53.201122,65220.516,14.697587,0.5840741,-5.122033869096237,20.178274,1.2960036,-61.58305358886719,-54.053734,75293.22,221
-59.26277160644531,-52.921127,63416.453,11.329869,0.50706375,-8.415810680340384,15.983406,1.534357,-61.325740814208984,-53.931168,73945.734,224
-58.90926742553711,-52.772934,61363.344,9.429881,0.47806674,-21.007022200916193,15.530459,0.89153993,-60.69175338745117,-53.465538,72262.16,227
-58.50755310058594,-52.60408,59034.734,8.33631,0.33788988,-18.614965511529764,896.947,19.160633,-132.61402893066406,-125.47118,71428.45,230
-63.05128860473633,-57.278263,57730.266,72.07656,0.8714255,-18.202590331522295,825.27264,19.776196,-128.16220092773438,-121.037674,71245.28,233
