ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch,SampleStep
-215966580736.0,-215966580000.0,81221.31,75477000.0,2887846.2,14.257260880973599,13496830.0,289239.22,-2349544960.0,-2349545000.0,80206.67,50,5100
-7722826752.0,-7722827000.0,80580.54,25636236.0,303705.53,-20.011240031472664,12074116.0,412147.25,-707354688.0,-707354700.0,80013.02,53,5400
-1296159232.0,-1296159200.0,80287.516,22729582.0,477751.9,-21.43973650273969,10748838.0,365830.7,-1178850.875,-1178842.9,79968.38,56,5700
-566422784.0,-566422800.0,80169.34,19858028.0,520516.38,-10.857196881833174,13901573.0,700108.1,-8731068.0,-8731060.0,79947.64,59,6000
-140430336.0,-140430320.0,80102.64,19248722.0,613252.1,-29.646243477951344,12583129.0,457185.8,-1160899.125,-1160891.1,79932.73,62,6300
-28209404.0,-28209396.0,80074.125,15838316.0,530648.75,-27.735078195004636,12124836.0,626443.7,-14704351.0,-14704343.0,79943.64,65,6600
-3318615.75,-3318607.8,80061.06,15759770.0,599757.06,-12.57318445836097,12585947.0,591561.5,-1252018.75,-1252010.8,79943.19,68,6900
-8679717.0,-8679709.0,80052.164,14725014.0,495313.2,-36.43513993600103,11143792.0,436980.53,-3210329.0,-3210321.0,79933.086,71,7200
-1454884.0,-1454876.0,80043.12,14820676.0,552909.4,-28.256828951289343,10283474.0,360312.94,-939735.3125,-939727.3,79929.93,74,7500
-1266785.375,-1266777.4,80035.83,14890658.0,382912.75,-22.802041953122156,8287847.0,265199.62,-740335.125,-740327.1,79916.82,77,7800
-960661.375,-960653.4,80023.55,11371374.0,282447.56,-7.859291683845494,7441155.0,317329.06,-718316.25,-718308.25,79887.08,80,8100
-825234.375,-825226.4,80002.27,9385638.0,280885.56,-3.6324090781605514,6487167.0,173439.53,-556395.4375,-556387.44,79840.81,83,8400
-962491.375,-962483.4,79972.87,8787120.0,297384.12,-16.38241327742854,6215955.0,186186.77,-546668.9375,-546660.94,79773.375,86,8700
-638148.0625,-638140.06,79931.46,7287161.5,214254.9,-19.87570711360041,5181431.5,146407.78,-449747.625,-449739.66,79676.61,89,9000
-571212.375,-571204.4,79882.72,6436297.0,200423.12,-18.61960962050497,4222851.5,176450.98,-405212.3125,-405204.34,79554.7,92,9300
-559267.8125,-559259.8,79813.875,6367750.0,189626.1,-33.98321908058141,3074071.5,88855.914,-268203.53125,-268195.6,79393.44,95,9600
-446754.8125,-446746.84,79718.73,5034518.0,156676.3,-1.4861788861770584,2670234.0,114463.88,-258205.078125,-258197.16,79208.484,98,9900
-370126.125,-370118.16,79596.03,4181201.2,128765.26,-15.156028250883308,1736316.8,61834.582,-159396.109375,-159388.2,79063.0,101,10200
-36816.171875,-36808.54,76309.5,391871.4,15129.531,-17.734328399288216,825487.75,26143.943,-73611.421875,-73603.53,78868.98,104,10500
-26582.4921875,-26574.984,75076.0,281230.62,11070.344,-9.691577058110221,909389.4,32175.887,-83370.4921875,-83362.625,78664.555,107,10800
-21355.00390625,-21347.514,74900.42,230735.03,8394.688,-20.682560877997435,837767.2,25868.8,-74256.1171875,-74248.266,78495.17,110,11100
-19631.37109375,-19623.879,74923.36,188827.53,10038.234,-10.993925480478973,610705.6,20074.436,-54970.46875,-54962.633,78378.53,113,11400
-20235.275390625,-20227.768,75073.6,202821.84,9531.233,-19.768183326565104,400435.8,9333.207,-33473.6796875,-33465.84,78394.73,116,11700
-15320.78515625,-15313.258,75276.78,156074.6,6943.2417,-10.43289557471295,277552.7,3934.9304,-21505.583984375,-21497.738,78463.05,119,12000
-14025.7392578125,-14018.1875,75519.5,142750.06,6361.824,-21.255995168414522,199441.17,4049.194,-16297.2958984375,-16289.4375,78584.53,122,12300
-11999.4248046875,-11991.848,75769.09,121608.06,5481.4766,-0.6376549714023487,199159.28,3673.191,-16023.8017578125,-16015.929,78730.61,125,12600
-9832.9765625,-9825.374,76030.08,97786.58,4661.9863,-14.204881239737158,131577.45,1430.9716,-9933.4697265625,-9925.571,78985.14,128,12900
-7281.365234375,-7273.7305,76347.97,76133.61,3056.4365,-3.683989999346524,150336.45,1470.3132,-11229.4990234375,-11221.57,79290.91,131,13200
-5483.18505859375,-5475.5127,76724.33,57383.414,2274.0303,-20.39231606913969,62614.016,670.1852,-4752.13916015625,-4744.1714,79679.56,134,13500
-4196.515625,-4188.8,77159.25,42361.42,1874.7097,-27.25971210775532,211513.28,562.3843,-14754.9072265625,-14746.888,80197.8,137,13800
-3205.69775390625,-3197.933,77645.46,34677.24,1178.8146,-7.384438991306316,39636.047,305.6822,-2950.718505859375,-2942.656,80624.95,140,14100
