Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,AverageReturn,Epoch,SampleStep
76330690.0,3198461.5,-227031695360.0,-227031700000.0,81221.31,-36.21039160973329,49,5000
19165710.0,238244.16,-10754918400.0,-10754918000.0,80516.14,-40.843046929063284,50,5100
17029508.0,230820.03,-7544179200.0,-7544179000.0,80280.67,-23.515198720390316,51,5200
13614032.0,267910.4,-2767367168.0,-2767367200.0,80126.18,-8.128215635855502,52,5300
14660729.0,185210.38,-1581675136.0,-1581675100.0,80046.65,-17.28441876421066,53,5400
14711498.0,365517.7,-749968576.0,-749968600.0,79994.83,-18.836213018421077,54,5500
13053369.0,185106.67,-237541408.0,-237541400.0,79958.766,-19.486380013378803,55,5600
12703258.0,342535.84,-183010656.0,-183010660.0,79946.67,-31.041842785251585,56,5700
12140460.0,230792.14,-59233488.0,-59233480.0,79932.91,-22.43841916190919,57,5800
12963842.0,243050.36,-141475888.0,-141475890.0,79918.5,-43.268659818434685,58,5900
12583995.0,330938.8,-55747676.0,-55747668.0,79908.625,-24.767406766516114,59,6000
13612840.0,277295.34,-27283202.0,-27283194.0,79897.625,-36.91075892823274,60,6100
12792766.0,343458.25,-8960922.0,-8960914.0,79888.234,-11.995364232656234,61,6200
13034376.0,455162.44,-5145688.5,-5145680.5,79878.03,-26.226595904497653,62,6300
13529181.0,347113.22,-38071572.0,-38071564.0,79871.484,-22.894155975719197,63,6400
12703589.0,240521.98,-79923392.0,-79923384.0,79866.77,-24.541758627118273,64,6500
12758186.0,422491.44,-8515712.0,-8515704.0,79859.59,-16.01411707345604,65,6600
11091760.0,319972.8,-967133.0,-967125.0,79852.19,-29.956668761116035,66,6700
12125160.0,302816.2,-1025451.3125,-1025443.3,79846.67,-2.570711850189224,67,6800
11072720.0,268399.34,-930946.0625,-930938.06,79843.72,-22.814489029269392,68,6900
11428816.0,283263.75,-965100.625,-965092.6,79837.73,-22.227775641882594,69,7000
11992067.0,235284.94,-970748.375,-970740.4,79835.09,-21.41930243837763,70,7100
12948306.0,546087.75,-1245767.75,-1245759.8,79829.97,-14.44267582841011,71,7200
11444216.0,277275.0,-2444598.25,-2444590.2,79836.734,-15.628122097778819,72,7300
10744924.0,237084.28,-887574.625,-887566.6,79834.945,-27.15320172394411,73,7400
9697757.0,386224.38,-1180416.0,-1180408.0,79833.0,-23.44287623104652,74,7500
10196518.0,311045.56,-1708568.125,-1708560.1,79830.555,-31.267261587895717,75,7600
9793312.0,299788.38,-6059560.0,-6059552.0,79824.92,-19.410348570571433,76,7700
8934132.0,216616.38,-1700827.125,-1700819.1,79819.65,-14.666172518707462,77,7800
8673051.0,324326.62,-806410.8125,-806402.8,79814.63,-30.688012905993585,78,7900
9270710.0,290620.4,-824044.8125,-824036.8,79807.664,-22.56508232176224,79,8000
8027610.0,190462.5,-2742144.25,-2742136.2,79805.13,-22.885539963152496,80,8100
6681495.0,203862.62,-590131.75,-590123.75,79792.84,-27.949144520721905,81,8200
6324001.0,191959.88,-6154195.5,-6154187.5,79781.0,-11.458126222528396,82,8300
7491242.0,960062.9,-7381080.0,-7381072.0,79768.234,-17.415402068313128,83,8400
6875403.5,428914.8,-755540.625,-755532.6,79749.9,-19.51569118956291,84,8500
