ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,AverageReturn,Epoch,SampleStep
-221561651200.0,-221561650000.0,81221.31,73843790.0,3044660.5,14541564.0,232564.48,-1503019392.0,-1503019400.0,80243.54,-5.553717234412722,49,5000
-29469130752.0,-29469130000.0,80854.45,30986934.0,436887.94,14076562.0,418916.12,-123601416.0,-123601410.0,80129.734,-31.765488431538245,50,5100
-14303778816.0,-14303779000.0,80626.82,26634908.0,330966.6,14951394.0,379954.2,-9495852.0,-9495844.0,80103.36,-22.10230783256675,53,5400
-1819531776.0,-1819531800.0,80278.63,20488808.0,286166.66,16191882.0,642671.75,-2506589.75,-2506581.8,80094.66,-24.489688280685186,56,5700
-373011552.0,-373011550.0,80157.11,16384559.0,278283.6,14052534.0,385553.1,-3522523.0,-3522515.0,80082.375,-39.153764491052186,59,6000
-75565520.0,-75565510.0,80108.54,17080976.0,383632.38,12418855.0,533390.5,-1201349.125,-1201341.1,80073.125,-20.86404320894065,62,6300
-30892626.0,-30892618.0,80089.125,16209966.0,411553.6,13217538.0,473098.88,-24830578.0,-24830570.0,80063.44,-26.299359260397615,65,6600
-31232962.0,-31232954.0,80072.414,15315946.0,394453.7,11324517.0,221689.89,-916377.375,-916369.4,80051.12,-17.902413152876278,68,6900
-12097292.0,-12097284.0,80059.94,14135170.0,363375.84,10340411.0,160779.34,-808568.5,-808560.5,80041.34,-15.670730862729242,71,7200
-1836444.0,-1836436.0,80049.945,13763056.0,479064.94,9285070.0,157033.03,-734621.125,-734613.1,80035.164,-19.527449828446294,74,7500
-1355691.25,-1355683.2,80042.79,12944372.0,359210.53,9527548.0,243975.58,-809860.9375,-809852.94,80005.14,-35.945243222037284,77,7800
-987165.375,-987157.4,80032.24,11040006.0,354752.22,8129257.0,169071.38,-664555.9375,-664547.94,79962.57,-23.941686442878172,80,8100
-904617.0,-904609.0,80026.09,10344442.0,302317.7,6166126.0,168019.61,-531003.75,-530995.75,79922.22,-24.403007376550185,83,8400
-738803.75,-738795.75,80004.27,8555127.0,236208.55,6171621.0,241521.25,-581112.5,-581104.5,79863.22,-13.845856442380674,86,8700
-1310064.75,-1310056.8,79974.55,7109220.0,243636.2,4780513.0,202254.88,-460408.84375,-460400.88,79760.59,-18.283856031150385,89,9000
-597134.375,-597126.4,79930.09,6923301.5,190030.53,4562361.0,154750.03,-413501.59375,-413493.62,79608.92,-22.948290778408257,92,9300
-517257.46875,-517249.47,79865.7,5855723.0,178745.38,3366260.2,126457.61,-313419.4375,-313411.5,79465.875,-17.024142378195187,95,9600
-481111.09375,-481103.12,79781.766,5283680.0,182532.2,2470584.0,93579.0,-230562.953125,-230555.03,79291.6,-18.685131028058272,98,9900
-418880.40625,-418872.44,79666.13,4645171.0,154417.86,1642719.1,42375.117,-139894.828125,-139886.9,79158.25,-16.944613093748018,101,10200
-44245.53125,-44237.984,75454.82,514864.2,13809.565,1594584.8,44859.727,-138318.9375,-138311.03,79018.11,-9.295062500814728,104,10500
-37579.65625,-37572.227,74288.55,377997.25,17645.53,1099408.8,25665.953,-91823.5625,-91815.67,78882.98,-32.227190286176786,107,10800
-26346.6875,-26339.28,74083.34,299858.38,8859.242,752687.94,10741.129,-58262.4921875,-58254.613,78774.96,-18.153865495230264,110,11100
-23199.697265625,-23192.281,74155.43,243562.34,9838.178,565050.6,7778.2837,-43560.62890625,-43552.75,78785.234,-10.580853593199034,113,11400
