ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch
-527952609280.0,-527952600000.0,81221.31,257691360.0,2509295.5,16.37850131431789,46505030.0,2504944.0,-10672598016.0,-10672598000.0,80390.41,50
-25568434176.0,-25568434000.0,80763.14,77630530.0,5177581.0,-13.97783361476045,30586166.0,4635489.0,-2888375552.0,-2888375600.0,80197.72,53
-10604431360.0,-10604431000.0,80518.94,29834024.0,5560210.0,-17.917795968356305,36760200.0,6598562.5,-960752448.0,-960752450.0,80134.72,56
-12355266560.0,-12355267000.0,80411.95,66074936.0,9861038.0,-1.0556575427955397,43539076.0,696114.25,-622243200.0,-622243200.0,80087.2,59
-79102808.0,-79102800.0,80368.83,44283828.0,974269.4,-26.07669819806676,36257750.0,6431742.0,-6805746.0,-6805738.0,80093.34,62
-114017152.0,-114017144.0,80349.8,44364336.0,986900.44,-17.43435962775412,23458350.0,894253.25,-2192553.0,-2192545.0,80078.086,65
-142267120.0,-142267100.0,80330.05,51137076.0,914484.9,-6.851685776267232,46214256.0,532442.9,-3487562.75,-3487554.8,80060.92,68
-514976512.0,-514976500.0,80319.56,59814964.0,1317829.0,-34.984031784439665,33422312.0,13487392.0,-11388272.0,-11388264.0,80094.23,71
-8089250.5,-8089242.5,80300.38,39952880.0,7959006.0,-8.724837984876961,40649670.0,2475817.5,-4426056.0,-4426048.0,80076.04,74
-42360360.0,-42360350.0,80288.1,67268880.0,3869147.0,-24.408154181383495,22202734.0,2286252.0,-3049521.0,-3049513.0,80054.22,77
-128859808.0,-128859800.0,80271.3,34542850.0,3281098.0,-3.8463570374215172,40299136.0,573470.6,-3115063.25,-3115055.2,80077.414,80
-20092870.0,-20092862.0,80261.59,26139694.0,3274079.5,-5.264735798290684,40417416.0,780898.4,-3263428.5,-3263420.5,80056.78,83
-4619640.0,-4619632.0,80254.06,53024944.0,1524371.1,-17.97944910635951,26653068.0,463323.22,-2117131.75,-2117123.8,80023.734,86
-3668745.5,-3668737.5,80249.516,46958456.0,725776.4,-11.687994821600661,41718504.0,2352367.5,-4414846.0,-4414838.0,79977.94,89
