ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Epoch
-671558729728.0,-671558700000.0,81881.02,76875950.0,11572254.0,6.07652997395054,50
-13454352384.0,-13454352000.0,81058.78,14213688.0,266476.62,-16.342031129507497,53
-1822657536.0,-1822657500.0,80684.484,13881878.0,271936.7,-10.583848839289256,56
-365666368.0,-365666370.0,80559.97,13887116.0,319271.88,-11.885793237858094,59
-144594352.0,-144594340.0,80518.3,12561740.0,326271.06,-26.851636404582823,62
-16442987.0,-16442979.0,80501.58,13189431.0,360124.44,-22.750681594906652,65
-4677702.0,-4677694.0,80491.81,13167172.0,399297.28,-18.214953653754883,68
-1495212.125,-1495204.1,80481.32,12271290.0,389907.4,-19.968720613117306,71
-1008022.8125,-1008014.75,80476.75,11695156.0,320054.2,-9.654088602043982,74
-1557437.875,-1557429.9,80471.734,10487136.0,315679.8,-1.2991229024609199,77
-939436.9375,-939428.9,80461.04,9063250.0,283074.9,-13.107358839764782,80
-984281.625,-984273.56,80441.414,8145457.5,269863.5,-14.21411197896869,83
-591645.4375,-591637.4,80419.836,6710109.0,203238.06,-20.862894335922704,86
-531038.5625,-531030.5,80385.13,5645920.0,220091.45,-9.917749811534911,89
-487419.03125,-487411.0,80348.95,5204077.0,199814.34,-10.755277466838196,92
-434341.4375,-434333.4,80314.95,4820909.0,159692.5,-16.99880184190469,95
-591654.5,-591646.5,80268.0,4228836.5,161241.48,-34.60491294076729,98
-310057.28125,-310049.25,80212.38,3386428.0,119472.08,-13.697837359728277,101
-258037.53125,-258029.52,80135.31,2811226.0,100116.94,-13.390450185700804,104
-208561.40625,-208553.4,80035.22,2251909.5,82932.17,-21.98622043057659,107
-176264.125,-176256.12,79921.92,1819537.0,78440.16,-21.883088865780266,110
-143502.578125,-143494.6,79801.9,1511603.5,60818.16,-10.352332700866109,113
-107715.8046875,-107707.84,79641.81,1135884.9,45503.977,-0.9890212558216338,116
-78312.5390625,-78304.59,79457.25,868123.8,28827.621,-20.96878022743383,119
-55136.7109375,-55128.785,79265.69,624968.75,18893.656,-2.5168231735053057,122
-34446.35546875,-34438.45,79066.24,379390.97,12875.028,-38.37963763601932,125
-24769.59765625,-24761.705,78931.45,301718.6,6341.866,-8.61405503639818,128
-18619.5625,-18611.674,78890.32,222594.75,5165.664,-16.29057141286273,131
-13995.287109375,-13987.397,78896.78,169925.84,3598.746,-15.456836610064544,134
-7863.6591796875,-7855.764,78951.016,97016.78,1828.2555,-17.937964734080946,137
-5017.72607421875,-5009.8184,79078.06,63715.04,952.65906,-22.351034676739697,140
-3407.05517578125,-3399.1296,79255.695,44058.656,538.0029,-19.62186456731563,143
-4387.8828125,-4379.9346,79482.63,60915.12,301.80118,-19.810480332233237,146
-1828.4788818359375,-1820.5093,79695.97,24338.447,177.12125,-14.97037999922825,149
-1349.3636474609375,-1341.3715,79921.914,17946.264,108.26427,-30.518608223818898,152
-948.7203979492188,-940.7037,80167.37,12527.975,57.98182,-18.65841466381043,155
-682.1170654296875,-674.0744,80426.59,8866.979,30.053759,-18.653021291192434,158
-532.5753173828125,-524.507,80682.75,6804.537,15.265394,-14.539078061285622,161
-322.45166015625,-314.35785,80938.2,3779.9663,7.1617804,-8.89313904118151,164
-250.5074005126953,-242.39046,81169.42,2758.983,2.90583,-20.077074537064014,167
-162.24095153808594,-154.10779,81331.63,1462.9375,2.0452714,-34.349990210818966,170
-133.11610412597656,-124.98232,81337.83,922.9935,12.997726,-21.780052992495243,173
-97.46175384521484,-89.34749,81142.66,503.4779,2.2877293,-7.86259052446879,176
-81.73297882080078,-73.66436,80686.17,284.60086,0.9987283,-22.977140231551346,179
-74.24360656738281,-66.25661,79869.984,177.9625,0.71528816,-11.113677289504238,182
-69.69410705566406,-61.82596,78681.51,114.05731,0.5581604,-17.136553813303,185
-66.03014373779297,-58.31724,77129.03,63.636803,0.41498625,-13.89744115401114,188
-64.4993667602539,-56.981125,75182.43,43.429455,0.46119738,-13.279240587135366,191
-63.15971374511719,-55.871216,72885.0,28.167013,0.34719476,-5.060698009536522,194
-208.60198974609375,-201.51192,70900.75,2178.1982,0.57350993,-11.118592894015741,197
-124.955810546875,-117.91914,70366.64,943.3418,0.52484035,-8.444678630662832,200
-14540877824.0,-14540878000.0,82064.93,12413088.0,220955.28,-16.110464012310253,203
-1960355968.0,-1960356000.0,81683.14,8242813.0,80259.61,-22.122121794789145,206
-483313408.0,-483313400.0,81563.05,8244861.0,107951.59,-17.98170658774652,209
-127431912.0,-127431900.0,81503.125,8084460.0,119695.2,-50.01823061064449,212
-6289191.0,-6289183.0,81485.734,8880259.0,119575.11,-24.30273657508633,215
-4577862.5,-4577854.5,81483.53,8755324.0,125584.42,-29.540282944486044,218
-2598502.5,-2598494.2,81482.0,9010632.0,128258.46,-17.54670192336871,221
-820203.0625,-820194.94,81474.33,8331208.5,129345.43,-25.22890276424694,224
-627368.625,-627360.5,81467.65,7779199.0,149121.14,-13.599453337625791,227
-596677.4375,-596669.3,81451.93,7455715.0,136113.72,-46.53093329701907,230
-510857.6875,-510849.53,81431.19,6377492.0,117110.5,-49.46941158259772,233
-455907.875,-455899.75,81399.85,5490304.0,124623.99,-46.08022324572737,236
-420415.3125,-420407.2,81352.4,4864029.5,134800.12,-31.742263522609026,239
-364711.65625,-364703.53,81291.34,4283876.0,110495.94,-27.184026394881585,242
-295940.0,-295931.88,81212.44,3470627.5,90189.305,-17.07202864848504,245
-256038.109375,-256030.0,81119.61,3049202.0,73364.42,-10.426565905841178,248
-210931.65625,-210923.56,80999.83,2460917.5,65534.05,-68.79036721329587,251
-190947.453125,-190939.38,80857.914,2131772.2,68915.73,-5.046601985634709,254
-150410.5,-150402.44,80692.86,1646011.9,57585.816,-11.969443709264047,257
-122132.7265625,-122124.67,80508.125,1294815.0,50916.316,-21.609677216420693,260
-93108.28125,-93100.25,80308.91,957483.1,41756.89,-54.394004384234634,263
-78062.8046875,-78054.79,80120.37,800428.8,35227.96,-3.669229028199244,266
-55289.69921875,-55281.703,79978.125,558418.7,25774.656,8.858679877208743,269
-43659.68359375,-43651.69,79902.65,420450.3,22384.527,-10.259264884743338,272
-33163.55078125,-33155.562,79884.125,294410.84,19477.178,-21.31050820235306,275
