Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,AverageReturn,Epoch
76580540.0,3513348.8,-234788585472.0,-234788590000.0,81221.31,-35.58098106545774,49
18560348.0,236070.05,-10356950016.0,-10356950000.0,80662.19,-33.8229130551108,50
15515434.0,239496.4,-5796855808.0,-5796856000.0,80433.984,-13.937768507987585,51
13927560.0,413853.25,-1822981888.0,-1822981900.0,80320.7,-2.046678317772772,52
13711496.0,235310.02,-1212125184.0,-1212125200.0,80248.5,-16.013936911375076,53
12903548.0,332797.62,-349209216.0,-349209200.0,80207.484,-11.756565555832372,54
13263260.0,329285.75,-350144672.0,-350144670.0,80182.15,-24.961027848254297,55
12935137.0,431293.6,-237849072.0,-237849060.0,80167.44,-1.3858811613247808,56
12766832.0,370688.25,-49811372.0,-49811364.0,80159.39,-20.93639310780836,57
13323406.0,499763.4,-281499168.0,-281499170.0,80154.53,-31.9967640785291,58
13271698.0,385334.47,-6620583.0,-6620575.0,80150.266,-27.224413224120575,59
13601176.0,384903.53,-8306202.5,-8306194.5,80145.016,-25.889829414605952,60
12501707.0,414076.5,-3895390.0,-3895382.0,80139.66,-14.083330769689868,61
13038261.0,519145.75,-7492000.5,-7491992.5,80137.69,-10.903760751103341,62
13383426.0,431199.75,-2672182.0,-2672174.0,80134.3,-13.165838623399713,63
14205573.0,345416.3,-1195054.375,-1195046.4,80132.53,-17.772827668638154,64
12288434.0,488629.88,-1162408.0,-1162400.0,80130.66,-15.506658812016077,65
11359887.0,233468.14,-1943037.625,-1943029.6,80129.836,-18.29303553681821,66
12691769.0,269873.7,-1041500.875,-1041492.9,80128.54,-2.5384298718227205,67
11747587.0,258667.06,-970027.125,-970019.1,80130.68,-10.86242301171212,68
12825562.0,386012.47,-2187961.75,-2187953.8,80128.26,-16.53551916260301,69
12099762.0,335196.0,-1905716.375,-1905708.4,80124.91,-12.40398153735676,70
13015914.0,502527.5,-1220866.5,-1220858.5,80122.984,-13.864583738246575,71
10670647.0,358671.5,-1124780.625,-1124772.6,80119.984,-19.32985346294239,72
11416555.0,393952.5,-1039171.4375,-1039163.44,80116.016,-15.62069387239412,73
10204637.0,313591.28,-19610004.0,-19609996.0,80113.84,-21.983316585037734,74
10367518.0,334052.16,-927652.375,-927644.4,80109.914,-22.68497711021841,75
10456375.0,337107.38,-935732.5,-935724.5,80104.75,-13.231595437625707,76
10494141.0,200237.89,-845671.6875,-845663.7,80105.46,-17.70457616354484,77
10180920.0,325406.44,-909175.4375,-909167.44,80098.4,-21.146964825824917,78
11019373.0,216686.19,-892343.125,-892335.1,80088.16,-17.55840545104435,79
9732826.0,191171.25,-788020.125,-788012.1,80080.78,-20.454516601821126,80
7491478.5,226083.11,-659977.5625,-659969.56,80072.42,-26.12720781334511,81
6819053.0,224352.94,-613305.25,-613297.25,80064.09,0.22094399144591337,82
7772594.5,215009.05,-671506.375,-671498.4,80053.375,-11.132502395343922,83
8259245.0,187362.3,-762463.5,-762455.5,80040.26,-14.54938475630408,84
7350981.0,271520.3,-681216.6875,-681208.7,80058.664,-14.84751000815586,85
6477416.0,201847.25,-574958.4375,-574950.44,80043.4,-20.341366178661506,86
7268322.5,320131.7,-708517.5,-708509.5,80024.67,-25.806772985991994,87
7515646.0,230656.84,-664707.8125,-664699.8,80042.76,-3.4230220693780913,88
6096094.5,264164.97,-591324.25,-591316.25,80020.84,4.911434209094126,89
5766584.0,156439.0,-496131.46875,-496123.47,79998.516,-26.83112455093357,90
6409700.0,196528.6,-566777.25,-566769.25,79969.8,-20.83655211414034,91
5468992.0,214107.08,-515016.75,-515008.75,79953.02,-10.716396369516822,92
4817018.0,178242.25,-446630.34375,-446622.34,79924.7,-5.00547846804235,93
5346843.0,133124.89,-451952.46875,-451944.47,79893.15,-7.626192673783805,94
4156882.8,190630.0,-410343.0,-410335.0,79857.44,-21.528286713686164,95
4410432.0,104437.484,-369175.5625,-369167.6,79818.766,-31.187426651930387,96
3861681.5,152378.94,-364483.78125,-364475.8,79775.8,-14.556275726099793,97
3908127.2,157081.9,-370809.0625,-370801.1,79729.01,-11.20833206389626,98
3228441.0,121332.01,-300625.1875,-300617.22,79684.875,-28.094403414387664,99
2145026.5,71915.73,-193874.25,-193866.28,79629.84,-5.275831886091125,100
2154461.5,95651.78,-210574.328125,-210566.38,79580.09,-39.51472613318615,101
2463241.0,86838.46,-225504.921875,-225496.97,79529.3,-18.921961887744875,102
2890636.8,111619.66,-271194.59375,-271186.66,79477.62,-30.85969163106076,103
2009210.2,88785.875,-196099.484375,-196091.55,79417.516,-14.432649492104476,104
1669256.2,76655.62,-164887.34375,-164879.4,79352.59,-16.360543444797603,105
1135920.8,34429.426,-100224.3203125,-100216.39,79284.19,-43.32733915332881,106
1730178.5,58236.56,-156546.046875,-156538.12,79216.7,-19.998885352122088,107
1034080.6,34448.133,-93345.6875,-93337.77,79144.05,-11.694458355345187,108
929540.25,32926.9,-85242.28125,-85234.375,79074.94,-15.942238165070158,109
1463629.5,53486.523,-135295.0625,-135287.16,79009.84,-22.859854815759977,110
