ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,AverageReturn,Epoch,SampleStep
-1160794880.0,-1160794900.0,27159.793,563583.75,36315.0,126586.06,20276.936,-2231811.75,-2231809.0,26966.383,-15.88449710894347,49,5000
-9015235.0,-9015232.0,27064.695,190052.4,26983.316,149275.27,18274.54,-338788.6875,-338786.0,26939.379,31.69918474182232,50,5100
-4309806.0,-4309803.5,27034.535,218873.56,34208.74,148706.38,11797.768,-101874.390625,-101871.695,26925.781,22.86173304017903,53,5400
-187205.234375,-187202.53,26997.73,191819.39,22911.053,136360.56,9073.641,-53874.91015625,-53872.22,26922.43,77.98212410270393,56,5700
-78830.7265625,-78828.03,26984.125,218452.31,14809.108,141497.2,8691.135,-15498.8564453125,-15496.164,26925.984,41.98292559566973,59,6000
-20221.91796875,-20219.22,26980.516,195684.27,10248.644,120204.016,6372.734,-12489.2451171875,-12486.552,26936.297,-27.674416081929298,62,6300
-18156.8046875,-18154.105,26988.336,202760.28,6492.7617,76049.33,3576.0547,-7608.90234375,-7606.208,26943.117,-82.63237037830595,65,6600
-11373.94140625,-11371.242,26996.238,131540.38,3590.959,51682.8,1749.1632,-4723.86279296875,-4721.169,26938.629,29.239283919762308,68,6900
-8134.59375,-8131.8936,27001.656,92996.36,2658.2153,30779.215,1478.0227,-3125.889892578125,-3123.1978,26920.406,11.567489457871144,71,7200
-4252.19384765625,-4249.4937,26999.945,44902.203,1730.1768,33387.516,2119.63,-3736.545654296875,-3733.856,26895.852,112.23842379993212,74,7500
-2839.75634765625,-2837.0576,26986.562,30542.98,1078.7854,20679.06,1178.9501,-2240.0576171875,-2237.3687,26890.21,138.53042046598082,77,7800
-2141.536865234375,-2138.8406,26962.594,24239.809,677.2693,20361.834,1082.0664,-2153.031494140625,-2150.344,26874.867,130.53234284715813,80,8100
-1616.9266357421875,-1614.2322,26944.762,18814.602,444.51776,14183.803,1374.4944,-1932.856201171875,-1930.17,26861.621,167.73596026654351,83,8400
-1137.5177001953125,-1134.8243,26933.578,13427.198,274.78387,9727.266,845.6522,-1273.4366455078125,-1270.7518,26847.863,81.00686537623919,86,8700
-896.4649658203125,-893.7716,26933.672,10674.454,193.82787,9151.965,657.66907,-1107.3035888671875,-1104.6187,26848.945,89.5333156566896,89,9000
-686.7269897460938,-684.0325,26945.148,8287.751,122.5433,7552.4956,692.34155,-1022.5348510742188,-1019.8485,26863.21,85.23567110548855,92,9300
-557.2568969726562,-554.55914,26977.367,6706.921,89.2892,5551.0825,337.04456,-646.6860961914062,-643.99646,26896.184,172.26160242695636,95,9600
-444.8384094238281,-442.13528,27031.383,5486.541,45.185974,4157.542,357.56638,-566.2777709960938,-563.5855,26922.703,-144.0280789583675,98,9900
-385.57586669921875,-382.86676,27091.176,4753.284,30.923958,5338.1826,257.31808,-578.3374633789062,-575.641,26964.57,148.68312212650508,101,10200
-417.3636474609375,-414.74142,26222.367,3363.6255,216.99455,4305.114,233.43765,-492.27825927734375,-489.5764,27018.875,-8.769073900203425,104,10500
-289.95513916015625,-287.33844,26166.863,2412.9453,123.785,5009.9365,162.53053,-491.9980773925781,-489.28885,27092.18,114.12762390479608,107,10800
-246.20870971679688,-243.5611,26476.14,2029.9966,97.38523,4014.45,175.36989,-433.3318786621094,-430.61475,27171.188,126.96436207038741,110,11100
-189.63392639160156,-186.95917,26747.602,1559.1497,60.822998,2838.8784,81.689995,-290.4028015136719,-287.67563,27271.844,24.611863557167567,113,11400
-163.42572021484375,-160.71843,27072.855,1347.1041,43.249336,2041.5956,60.19149,-221.91839599609375,-219.17783,27405.754,36.097728212244164,116,11700
-147.9345245361328,-145.18922,27453.047,1197.3906,35.2708,1673.9257,53.738235,-192.68409729003906,-189.93172,27523.828,185.37886179824912,119,12000
-131.2926483154297,-128.50803,27846.176,1051.0271,25.255476,1976.496,62.33343,-218.98497009277344,-216.22208,27628.93,188.5732721976424,122,12300
-92.16939544677734,-89.34649,28229.102,627.4453,9.740311,1821.25,47.75616,-198.63043212890625,-195.85287,27775.508,139.82178884988636,125,12600
-80.28742218017578,-77.42622,28611.96,458.67062,9.001872,976.7676,39.520866,-135.9325714111328,-133.13611,27964.672,151.81184725377474,128,12900
-69.995361328125,-67.09528,29000.742,346.84503,4.9172564,828.82935,25.437654,-116.41498565673828,-113.59569,28192.953,117.1047819001912,131,13200
-61.93638610839844,-58.996925,29394.602,242.7448,3.359426,604.0486,18.402918,-96.47259521484375,-93.62507,28475.242,127.49969122219943,134,13500
-56.98647689819336,-54.010586,29758.93,177.67398,2.4976425,421.29022,10.994312,-79.12442016601562,-76.24502,28794.0,-200.95440996598083,137,13800
-52.464141845703125,-49.458054,30060.883,115.91765,1.9454978,319.39224,9.17146,-71.03096771240234,-68.11633,29146.32,-41.390840885182136,140,14100
-49.12731170654297,-46.09998,30273.312,77.27101,0.8475579,202.96356,4.222755,-59.84410858154297,-56.889214,29548.953,137.7542402639768,143,14400
-47.119468688964844,-44.085934,30335.344,48.485954,0.7496861,129.05945,3.3240726,-54.27315139770508,-51.28018,29929.688,104.54006060912407,146,14700
-45.92402648925781,-42.906456,30175.688,34.005215,0.45471245,107.99974,3.2198167,-52.80806350708008,-49.784573,30234.922,101.70594116065749,149,15000
-45.1659049987793,-42.188515,29773.906,24.072357,0.38702148,62.06024,1.5782621,-48.60993194580078,-45.56515,30447.82,115.81210839614246,152,15300
-44.473854064941406,-41.559273,29145.809,15.309883,0.3333627,46.835083,1.0320063,-47.2175178527832,-44.16526,30522.559,113.42399594697837,155,15600
-44.14898681640625,-41.323387,28255.988,12.784823,0.23727831,29.969692,0.7476164,-45.86965560913086,-42.83158,30380.738,158.3074224521595,158,15900
-43.80131149291992,-41.10018,27011.297,9.879805,0.1979211,19.561058,0.6725451,-45.07243728637695,-42.076454,29959.844,37.88935225788556,161,16200
-43.53507995605469,-40.97921,25558.717,8.464325,0.16069621,15.175346,0.5087329,-44.59585952758789,-41.66884,29270.195,-21.069156380536846,164,16500
-43.287498474121094,-40.877457,24100.428,6.8132935,0.1754314,12.9647455,0.3823421,-44.265872955322266,-41.433723,28321.492,-29.125480602511633,167,16800
-43.10039138793945,-40.84896,22514.305,6.7081814,0.14591604,8.618062,0.4786502,-43.93242263793945,-41.20476,27276.598,44.67768329077496,170,17100
-43.25006103515625,-41.10908,21409.793,8.010312,0.3980244,9.3550625,0.27914244,-43.757999420166016,-41.119633,26383.652,30.437217595626173,173,17400
-42.86936950683594,-40.802715,20666.535,5.5603724,0.1902655,8.091904,0.34620693,-43.638423919677734,-41.079536,25588.89,-22.44869766870739,176,17700
-42.73619842529297,-40.759064,19771.334,4.846389,0.19716029,6.8001747,0.24042049,-43.401790618896484,-40.920547,24812.445,-2.3913596602709313,179,18000
-42.576087951660156,-40.692158,18839.312,4.359731,0.14694667,10.395029,0.30245328,-43.64739227294922,-41.20578,24416.125,-79.60431436254369,182,18300
-42.50362777709961,-40.723038,17805.887,4.4586716,0.18269356,6.563669,0.32454818,-43.36579132080078,-40.96147,24043.21,-12.479016003082478,185,18600
