ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch,SampleStep
-11284683776.0,-11284684000.0,75083.88,13111082.0,175894.78,64.57198811736413,6191017.0,52155.16,-3679842.0,-3679834.5,73950.56,308,7600
-108.72249603271484,-100.58712,81353.766,819.66113,7.130252,11.830807805980172,6253397.5,83889.11,-2893058.25,-2893051.0,73587.66,401,10100
-7365887.5,-7365880.5,70322.59,1082513.0,26847.584,67.71107859288624,5511480.5,67948.43,-418975.59375,-418968.25,73468.22,533,13400
-62.111331939697266,-54.766552,73447.81,173.69638,4.012576,21.292253091467142,4994934.5,62531.656,-380356.78125,-380349.44,73399.125,594,14900
-46.51615905761719,-40.955982,55601.773,7.4607754,0.22672454,9.965530713509635,4209052.0,62854.992,-327396.75,-327389.4,73365.61,699,17800
-54.391014099121094,-47.97934,64116.75,96.6547,1.6865277,13.406831048164419,3476998.0,71231.03,-283528.21875,-283520.88,73342.8,777,20200
-45.85423278808594,-40.834408,50198.258,6.162318,0.17690651,17.207707910659646,3296599.2,56693.29,-261483.734375,-261476.4,73326.65,947,24900
-49.17042922973633,-42.08537,70850.59,25.66098,0.07572539,9.602234730309439,3085870.0,55659.383,-246524.578125,-246517.25,73319.45,1105,29400
-55.21989440917969,-47.56951,76503.836,88.68843,1.8775103,23.311136222024484,2365405.5,40040.777,-187203.671875,-187196.34,73301.8,1204,32200
-13261.3798828125,-13254.595,67856.05,142301.84,5298.05,20.62788886708799,1974116.6,35581.016,-157708.296875,-157700.97,73287.23,1211,32400
-10768.5849609375,-10761.818,67667.11,110993.336,4745.051,24.50326496351836,1640638.4,30061.668,-131407.78125,-131400.45,73270.81,1269,34100
-115.31306457519531,-107.50024,78128.305,748.65765,24.446886,18.88693268991299,1392633.8,24247.336,-110691.4765625,-110684.15,73269.22,1352,36400
-45.219871520996094,-40.86357,43563.023,4.316185,0.4046141,23.790711779193813,1222485.8,23279.645,-98523.140625,-98515.81,73267.336,1471,39800
-103.73545837402344,-96.13492,76005.41,794.26746,3.090115,22.832332456301646,1045593.9,20404.49,-84607.7421875,-84600.414,73263.89,1697,45900
-47.614013671875,-41.155235,64587.797,10.098156,0.2574429,44.722195892747095,990567.4,19695.451,-80404.4296875,-80397.1,73263.805,1749,47400
-46.17238235473633,-41.326874,48455.07,10.374613,0.483451,17.297802397810397,1026058.6,18475.312,-81980.40625,-81973.08,73267.35,1824,49400
-4187.31640625,-4180.405,69115.86,30275.094,3090.787,67.58987138566731,740257.25,18624.184,-62741.6328125,-62734.305,73272.375,1847,50100
-487.80023193359375,-480.40808,73921.57,3628.148,287.5852,16.99197917221361,890345.4,18983.277,-73140.734375,-73133.41,73281.28,1864,50500
-106.99467468261719,-99.206055,77886.18,500.64206,36.991207,25.37213512648069,770640.0,17696.36,-64169.7265625,-64162.4,73287.55,1932,52500
-63.117279052734375,-57.18995,59273.29,65.8185,18.381695,16.192719331618914,543176.9,13415.4,-45881.015625,-45873.68,73343.06,1947,52900
