ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,AverageReturn,Epoch,SampleStep
-20317984768.0,-20317985000.0,75083.89,31813524.0,925907.6,13957709.0,208949.31,-3470197.25,-3470189.8,74462.3,-100.13549101507368,49,5000
-391770400.0,-391770400.0,74747.375,26564630.0,376916.03,14305870.0,236153.97,-8512952.0,-8512945.0,74466.7,-58.944818943461655,50,5100
-29712664.0,-29712656.0,74609.234,25764410.0,365920.38,8928438.0,151928.06,-707020.1875,-707012.75,74470.91,-50.9638726820879,53,5400
-18173036.0,-18173028.0,74475.64,23657820.0,266266.38,7803868.0,144245.22,-625724.3125,-625716.9,74464.766,-67.003868867442,56,5700
-1522701.0,-1522693.5,74447.75,19528816.0,297312.4,6228407.0,103837.22,-491773.5,-491766.06,74446.71,-172.9467854855853,59,6000
-1243780.25,-1243772.8,74425.66,16190712.0,218930.62,4896122.5,103346.08,-401288.6875,-401281.25,74418.26,-131.16506004338228,62,6300
-921442.375,-921434.94,74404.875,11709632.0,190684.22,3465793.0,66487.234,-279560.09375,-279552.66,74362.72,-106.03983847113369,65,6600
-715011.25,-715003.8,74380.55,8866058.0,169975.44,2982587.0,59611.883,-242210.3125,-242202.88,74301.82,-117.0262966030712,68,6900
-639300.375,-639292.94,74330.625,7889080.0,155786.8,2247022.0,44294.523,-182071.453125,-182064.03,74219.266,-167.0938988592296,71,7200
-442300.6875,-442293.25,74282.36,5404576.0,113108.836,2473982.5,29931.16,-187709.984375,-187702.56,74172.22,-82.83731916468254,74,7500
-330488.34375,-330480.9,74241.22,4041668.0,84162.11,1565706.0,17715.389,-117982.921875,-117975.51,74121.82,-62.13862760071076,77,7800
-250473.828125,-250466.4,74232.89,3144577.2,55624.78,1092060.5,9680.856,-80495.6640625,-80488.25,74119.62,-33.985950916344244,80,8100
-722190.1875,-722182.75,74247.57,2318940.8,45555.75,867890.25,5711.7344,-62640.7890625,-62633.37,74174.92,-120.02271356613228,83,8400
-181418.953125,-181411.53,74249.5,2169580.8,51074.375,803571.06,4281.411,-57320.61328125,-57313.188,74243.47,-58.61144988936163,86,8700
-123818.796875,-123811.375,74241.01,1521208.5,30789.44,606451.56,3011.5288,-43122.7109375,-43115.277,74319.69,-125.77841889694977,89,9000
-99525.96875,-99518.55,74234.13,1251261.0,21883.98,908468.8,1675.1162,-62655.19140625,-62647.746,74457.89,-37.67127563342183,92,9300
-80818.171875,-80810.75,74248.34,984230.06,20940.479,378666.62,2149.04,-27125.4375,-27117.98,74572.266,-125.87711566310699,95,9600
-66745.25,-66737.82,74261.6,854718.56,13094.496,256297.48,714.6632,-17874.412109375,-17866.94,74733.41,-178.77446261882793,98,9900
-57168.3203125,-57160.895,74268.9,731205.6,11292.898,173601.44,393.1388,-12061.0283203125,-12053.523,75045.41,-128.27618952068605,101,10200
-7897.46875,-7890.2334,72354.42,112977.42,302.98157,159234.53,191.46227,-10952.419921875,-10944.88,75398.52,5.002777981186462,104,10500
-6025.669921875,-6018.5166,71534.99,86891.61,145.51807,109512.81,58.042923,-7497.623046875,-7490.048,75752.56,63.25519407930369,107,10800
-5940.91845703125,-5933.773,71452.92,86066.35,102.80798,69762.305,21.693638,-4783.24462890625,-4775.628,76165.89,-206.2192969544739,110,11100
-5326.578125,-5319.4126,71653.94,75104.94,291.04172,45598.055,10.251764,-3140.40673828125,-3132.7476,76590.89,-190.42862773727657,113,11400
-5073.19482421875,-5066.0127,71821.66,72929.38,134.11957,35802.402,2.7415993,-2472.529296875,-2464.8171,77120.48,-146.72512788796703,116,11700
-3996.642822265625,-3989.4453,71974.234,57189.684,117.12647,24207.266,1.343714,-1687.0325927734375,-1679.2556,77770.35,-77.30774376433352,119,12000
-3825.26416015625,-3818.0483,72157.0,54956.35,87.16704,15561.578,1.269956,-1102.023193359375,-1094.1724,78508.83,-191.4465536978394,122,12300
-3024.85693359375,-3017.6167,72402.98,43290.133,70.902695,9845.872,1.0683658,-715.2000122070312,-707.2676,79324.055,-109.07399193131741,125,12600
-2520.449951171875,-2513.184,72657.84,35745.86,79.87331,5568.046,0.77084816,-425.61248779296875,-417.5959,80165.94,-14.793601182278504,128,12900
-2301.63720703125,-2294.3435,72937.11,32745.016,56.55289,3546.2173,0.611002,-288.7747497558594,-280.67532,80994.4,-55.21486226777588,131,13200
-1884.867431640625,-1877.538,73294.17,26733.822,41.712086,2099.867,0.7576438,-191.07911682128906,-182.90344,81756.78,-184.2878524417744,134,13500
-1457.0283203125,-1449.6521,73762.77,20525.79,30.180885,1114.6461,1.1740824,-124.75715637207031,-116.517654,82395.02,-122.95011280909192,137,13800
-1206.114013671875,-1198.6843,74296.38,16816.156,30.261387,1547.2178,0.8577614,-153.83786010742188,-145.5747,82631.52,-105.20517516479315,140,14100
-911.85400390625,-904.36035,74936.64,12588.959,18.025648,1037.8358,0.4741222,-119.10087585449219,-110.84645,82544.234,-60.09453725149753,143,14400
-688.11962890625,-680.55194,75676.766,9358.968,10.278161,742.97565,0.6945705,-99.26873016357422,-91.04311,82256.164,-136.20070108994645,146,14700
-472.9012756347656,-465.25287,76483.97,6229.211,5.082427,641.8893,0.6433612,-92.34196472167969,-84.1682,81737.64,-123.54290249930584,149,15000
-310.5951843261719,-302.86026,77349.39,3852.6567,2.7522423,517.8323,0.8716181,-84.0241470336914,-75.928,80961.43,-108.91527018570712,152,15300
-213.8053741455078,-205.98428,78210.92,2432.018,1.651665,327.73947,0.7518474,-70.9706802368164,-62.983818,79868.625,-103.70423745145004,155,15600
-158.4925537109375,-150.59181,79007.484,1619.0566,1.0881934,285.32007,0.68317854,-67.9188461303711,-60.06694,78519.08,-118.12663180405006,158,15900
-440.9077453613281,-432.94937,79583.72,5783.1494,1.950139,200.35495,0.5994549,-61.9500617980957,-54.260895,76891.67,-111.62185331531172,161,16200
-165.08750915527344,-157.11646,79710.52,1715.2561,1.1104443,115.16693,0.52497286,-55.94873046875,-48.446022,75027.08,-105.1033617303677,164,16500
-123.50166320800781,-115.52551,79761.53,1104.479,0.72457445,90.41234,0.6956581,-54.17103958129883,-46.886436,72846.05,-164.37638176323256,167,16800
-97.06405639648438,-89.08889,79751.64,714.0153,0.70261824,58.859196,0.47050935,-51.65533447265625,-44.598953,70563.83,-123.71397165924795,170,17100
-89.677978515625,-81.710846,79671.305,604.74023,0.72677785,5483.584,1.8053465,-419.5290832519531,-412.58054,69485.49,-192.92648468359008,173,17400
-84.33409118652344,-76.38347,79506.195,526.6449,0.6634464,3801.1738,0.68460643,-304.8942565917969,-297.97745,69168.14,-152.74580048950753,176,17700
-71.16057586669922,-63.237762,79228.125,333.59955,0.54111826,1821.2031,0.8022495,-170.9891357421875,-164.0771,69120.27,-142.3881523314834,179,18000
-63.94947814941406,-56.065254,78842.23,227.15074,0.58637583,7110.6504,146.28046,-627.3673706054688,-620.44324,69241.42,-140.7212256126874,182,18300
-60.15044403076172,-52.322083,78283.62,172.07343,0.5624092,2909.1987,83.97538,-300.9085388183594,-293.9805,69280.484,-115.18657989001909,185,18600
-55.380699157714844,-47.63186,77488.414,103.65384,0.47311026,1928.2595,38.468147,-203.75311279296875,-196.80896,69441.54,-29.171214880802182,188,18900
-53.599403381347656,-45.967052,76323.53,78.36923,0.5412971,1519.2058,28.622211,-169.4318084716797,-162.46675,69650.65,-96.82351575060792,191,19200
-51.33864974975586,-43.87043,74682.195,48.45787,0.434016,907.13306,13.5157795,-117.81718444824219,-110.82707,69901.125,-140.57578992263134,194,19500
-50.070167541503906,-42.822384,72477.84,33.61376,0.36961353,551.131,9.120924,-90.76861572265625,-83.76335,70052.61,-33.552207263030155,197,19800
-48.813228607177734,-41.84242,69708.12,19.690092,0.31378052,393.84677,6.22981,-78.18144226074219,-71.163956,70174.84,-137.17410340038197,200,20100
-5054.58203125,-5047.768,68141.93,898.8088,10.277164,361.7005,4.2962427,-74.69049072265625,-67.6803,70101.95,-57.694788039016906,203,20400
-63.73818588256836,-57.054203,66839.836,214.69836,3.293099,398.28256,4.429052,-77.23762512207031,-70.24559,69920.31,-104.59167523669129,206,20700
-91.8250503540039,-85.16694,66581.13,629.93317,3.314938,211.35193,2.2732284,-63.09075164794922,-56.137638,69531.125,-78.2191720775831,209,21000
-80.77853393554688,-74.12578,66527.55,466.74823,3.3166788,136.73628,1.8362606,-57.69368362426758,-50.792885,69007.99,-72.25604442861625,212,21300
-70.95169830322266,-64.30576,66459.33,332.12057,2.2673175,71.558914,1.0302186,-52.65899658203125,-45.83706,68219.37,-88.78733191210624,215,21600
-63.98301696777344,-57.354294,66287.234,232.40205,1.9662043,45.95805,1.2193036,-50.946773529052734,-44.23266,67141.15,-58.45406877717817,218,21900
-194.55271911621094,-187.9347,66180.21,1849.9492,33.184654,31.727886,0.73244447,-49.52119827270508,-42.940292,65809.05,-60.712223271475324,221,22200
-105.8703842163086,-99.247215,66231.67,800.3763,7.078617,20.680449,0.5529412,-48.4930419921875,-42.07127,64217.734,-103.57193457420297,224,22500
-92.62486267089844,-85.99094,66339.266,606.7372,6.8522453,5861.435,62.329586,-485.39923095703125,-479.10413,62950.93,-56.02146817044037,227,22800
-120.24463653564453,-113.610855,66337.805,688.23846,39.51915,2323.9697,17.649048,-215.79881286621094,-209.49796,63008.633,-37.80465064126832,230,23100
-127.0677490234375,-120.435875,66318.75,1097.1628,8.712782,1906.3501,8.386002,-181.26022338867188,-174.97054,62896.938,-197.39009459765634,233,23400
-108.47581481933594,-101.844475,66313.414,807.7296,10.181532,1215.5299,4.238511,-131.71189880371094,-125.41784,62940.625,-107.93012817731002,236,23700
-96.20498657226562,-89.57004,66349.5,675.5619,5.259013,889.1997,3.4184203,-109.0663833618164,-102.78092,62854.61,-134.58677420688437,239,24000
-85.41602325439453,-78.78149,66345.39,530.0343,3.8683312,598.3091,2.287604,-88.59980773925781,-82.33185,62679.586,-212.68735994409897,242,24300
-76.70011138916016,-70.06728,66328.31,402.80173,3.7136436,414.91266,1.5752077,-75.67742156982422,-69.43978,62376.438,-68.20454276298275,245,24600
-67.26042175292969,-60.63363,66267.93,273.73273,2.6793754,313.327,1.3583372,-68.6168441772461,-62.418964,61978.766,-120.89135736968625,248,24900
-60.848453521728516,-54.23562,66128.35,185.99213,1.9983846,182.90738,0.85157406,-59.412498474121094,-53.25086,61616.414,-142.3881351229041,251,25200
-57.24976348876953,-50.65941,65903.57,138.1672,1.49592,132.17923,1.2713542,-56.19901657104492,-50.102264,60967.516,-6.461482349830613,254,25500
-53.216548919677734,-46.66255,65539.984,82.180305,1.1880094,83.570045,0.8258905,-52.51895523071289,-46.51156,60073.96,-118.76499298993753,257,25800
