ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Epoch,SampleStep
-8990157824.0,-8990158000.0,3789.2256,2287141.5,191.20284,98.6,4,5050
-168912544.0,-168912540.0,3697.6401,85176.68,416.74463,0.0,5,6060
-10570921.0,-10570921.0,3696.6191,45424.594,776.47455,0.0,6,7070
-6418976.5,-6418976.0,3721.9253,45416.816,898.8932,24.6,7,8080
-4704665.5,-4704665.0,3784.1714,40653.344,1251.3085,76.1,8,9090
-3556197.5,-3556197.0,3884.9326,38663.805,1513.0029,122.6,9,10100
-3437268.75,-3437268.2,4019.545,37899.773,1835.6094,117.6,10,11110
-2631226.25,-2631225.8,4180.4062,34972.492,1869.8196,74.0,11,12120
-2460035.0,-2460034.5,4363.123,32441.115,2014.7888,92.5,12,13130
-2712464.25,-2712463.8,4563.4253,30896.176,1893.1797,64.2,13,14140
-1338954.75,-1338954.2,4784.005,33914.062,2400.7786,70.7,14,15150
-2339641.5,-2339641.0,5020.7837,35289.754,2597.882,0.0,15,16160
-834875.625,-834875.1,5275.3457,37530.086,2585.7732,0.0,16,17170
-729255.0625,-729254.5,5547.586,37509.363,3144.6655,0.0,17,18180
-652691.6875,-652691.1,5842.5576,36949.773,3545.3005,0.0,18,19190
-500990.25,-500989.62,6166.9775,35335.42,3653.2375,0.0,19,20200
-405944.46875,-405943.8,6519.963,36293.5,3960.0696,0.0,20,21210
-368819.9375,-368819.25,6896.226,36186.42,4185.1006,0.0,21,22220
-324462.59375,-324461.88,7302.131,33709.78,4534.8013,0.0,22,23230
-188329.25,-188328.47,7737.5566,32437.93,4832.7676,69.6,23,24240
-266337.40625,-266336.6,8206.221,30865.871,5229.251,132.2,24,25250
-174477.3125,-174476.44,8715.746,27066.623,6075.859,119.7,25,26260
-60167.83984375,-60166.914,9260.459,24920.885,6691.5464,192.0,26,27270
-1441.2347412109375,-1440.25,9847.402,23953.195,7640.697,192.0,27,28280
-8785.7958984375,-8784.75,10462.778,25804.48,8626.424,170.6,28,29290
-28377.6640625,-28376.555,11097.719,25658.426,8810.064,121.3,29,30300
31583.865234375,31585.04,11744.504,25616.338,9849.232,160.0,30,31310
68947.59375,68948.836,12387.859,24026.781,11675.748,0.0,31,32320
139493.078125,139494.39,13061.636,18181.848,14073.431,0.0,32,33330
159773.703125,159775.08,13721.455,14974.633,16079.797,103.0,33,34340
210761.796875,210763.23,14423.17,13029.4375,21165.45,101.6,34,35350
257730.125,257731.64,15185.175,12783.802,25860.629,124.6,35,36360
358010.625,358012.22,15982.566,12638.0625,35887.7,192.0,36,37370
516254.96875,516256.66,16877.227,11155.021,51702.11,192.0,37,38380
768043.25,768045.06,17907.674,8938.675,76865.95,136.3,38,39390
1103058.0,1103059.9,19081.887,7283.54,110356.24,136.9,39,40400
1662813.25,1662815.2,20410.219,9830.436,166349.0,127.8,40,41410
2635375.0,2635377.2,21904.69,13501.066,263630.06,167.4,41,42420
3496151.0,3496153.2,23597.898,19689.652,349749.53,151.4,42,43430
4809476.5,4809479.0,25494.918,20107.883,481084.88,155.1,43,44440
