ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,AverageReturn,Epoch,SampleStep
-3562125312.0,-3562125300.0,31715.102,2377173.0,38086.547,890599.1,7343.8,-102154264.0,-102154264.0,31216.168,-38.520882567753745,49,5000
-98616632.0,-98616630.0,31281.117,1096711.8,13365.056,1021284.2,8704.406,-14725822.0,-14725819.0,31024.164,5.731147333708113,50,5100
-25553730.0,-25553726.0,31105.734,1042766.4,13552.85,927536.06,11978.9795,-1443456.25,-1443453.1,30942.777,1.2518534223745945,53,5400
-1517677.625,-1517674.5,30974.484,874509.4,12551.502,818350.5,8307.791,-740028.9375,-740025.9,30896.469,-52.893221870799124,56,5700
-106288.453125,-106285.36,30944.715,747788.5,13155.615,701579.8,9891.217,-177288.46875,-177285.38,30864.48,-22.3969085268828,59,6000
-124028.7265625,-124025.63,30927.016,566355.25,10234.332,632805.2,9494.641,-67726.75,-67723.664,30838.812,28.761836005238628,62,6300
-50587.84375,-50584.754,30917.11,398422.44,9361.018,420511.72,11633.861,-36424.78515625,-36421.703,30819.617,78.1994718513121,65,6600
-26682.064453125,-26678.975,30906.46,271557.97,9152.746,325513.62,7296.37,-27018.912109375,-27015.832,30804.957,-9.804573178457504,68,6900
-18689.689453125,-18686.602,30884.195,198403.58,7698.3438,246241.06,7195.3228,-21586.34765625,-21583.27,30781.773,-15.544752742198408,71,7200
-14896.5927734375,-14893.509,30837.848,157515.77,6181.651,155963.45,7617.5967,-15763.212890625,-15760.138,30750.82,19.329498527868225,74,7500
-12274.0771484375,-12271.002,30753.559,128696.66,5187.9917,157918.12,4363.593,-13693.568359375,-13690.498,30703.52,-58.361790246087764,77,7800
-10844.83203125,-10841.767,30657.71,104812.016,5464.3145,114921.484,4181.9526,-10661.1689453125,-10658.105,30637.336,-37.31905609770858,80,8100
-7294.63623046875,-7291.579,30570.832,76834.7,3015.5396,92112.625,4069.9849,-9041.9736328125,-9038.918,30556.09,55.25685183809546,83,8400
-5312.54931640625,-5309.503,30461.469,52637.297,2506.146,73917.61,3229.7378,-7242.17626953125,-7239.129,30475.242,-7.129965126756908,86,8700
-3518.552978515625,-3515.5195,30335.148,35725.312,1546.1758,54727.945,2319.1382,-5327.46728515625,-5324.428,30392.64,-110.26411874829918,89,9000
-2573.689697265625,-2570.6677,30218.629,25846.229,1137.7712,44821.14,1842.8102,-4334.76708984375,-4331.7383,30288.031,10.426665901099925,92,9300
-1693.509765625,-1690.4954,30144.125,16745.582,747.1072,32679.695,1523.7345,-3308.489501953125,-3305.4722,30172.348,11.773082611961808,95,9600
-1101.4044189453125,-1098.3906,30137.664,10979.35,448.7116,24319.102,1120.6061,-2458.720947265625,-2455.7153,30056.902,-22.92178366054749,98,9900
-751.8382568359375,-748.8146,30237.098,6809.8345,349.05573,14671.09,338.91113,-1276.901611328125,-1273.9026,29989.988,-50.59465752983935,101,10200
-455.06951904296875,-452.2642,28053.36,3938.9824,197.89548,12381.955,450.3218,-1197.3831787109375,-1194.3911,29920.617,-0.7063764108461226,104,10500
-242.20057678222656,-239.33746,28631.148,2131.4307,63.985165,9277.275,726.74786,-1174.345703125,-1171.3557,29899.988,47.317675915777464,107,10800
-144.77133178710938,-141.85617,29151.61,1053.7261,27.696663,4449.633,190.09892,-484.5400085449219,-481.54297,29970.34,-30.152156378797375,110,11100
-100.0377197265625,-97.072876,29648.402,540.0955,12.878452,3439.0483,186.50848,-413.739013671875,-410.7295,30095.32,19.82089703052878,113,11400
-85.79883575439453,-82.80607,29927.688,346.44452,11.15991,2754.3687,207.84763,-381.8667907714844,-378.83853,30282.719,-26.08847783842046,116,11700
-72.03336334228516,-69.03016,30032.016,192.63867,6.182295,1564.4287,132.4592,-250.3580780029297,-247.30457,30535.125,-19.619736866665217,119,12000
-64.61943054199219,-61.622253,29971.793,116.37082,2.8615918,952.4947,63.22032,-162.12847900390625,-159.04411,30843.672,2.9920401895130375,122,12300
-61.333011627197266,-58.355103,29779.094,75.45519,2.1249247,945.27106,92.390205,-181.40948486328125,-178.29388,31155.953,-7.635141414004656,125,12600
-58.777645111083984,-55.840466,29371.797,44.253815,1.5289087,668.7914,82.074936,-155.75022888183594,-152.60504,31451.914,11.947969827804842,128,12900
-56.754119873046875,-53.890236,28638.828,21.149456,0.95727366,445.83203,39.826115,-112.1009521484375,-108.92914,31718.11,7.37184437759704,131,13200
-55.77915954589844,-53.020035,27591.258,11.508429,0.63537836,273.08612,42.795856,-102.44111633300781,-99.249374,31917.39,-62.69316547093315,134,13500
-55.319454193115234,-52.704956,26144.977,8.374003,0.48319572,138.74783,17.066507,-75.9501724243164,-72.74858,32015.898,17.665366452379352,137,13800
-54.84602355957031,-52.417862,24281.637,5.6288013,0.33344322,138.81921,20.17357,-78.05949401855469,-74.85589,32036.07,-94.9937473565353,140,14100
-56.988525390625,-54.723045,22654.787,12.241361,3.0788095,112.92389,12.935223,-71.4028091430664,-68.2056,31972.102,39.00500097485687,143,14400
-55.015708923339844,-52.80114,22145.705,6.9356585,0.7691759,44.813972,6.4354143,-62.38136672973633,-59.19849,31828.758,11.77667562265103,146,14700
-54.89179229736328,-52.74498,21468.107,8.026059,0.5771321,40.33021,4.139602,-60.50590896606445,-57.34156,31643.473,17.552523164907814,149,15000
-55.25603485107422,-53.164024,20920.104,13.4042,0.662068,21.986614,2.2804885,-57.982749938964844,-54.84227,31404.797,21.03584978412516,152,15300
-54.620323181152344,-52.583508,20368.15,6.7924967,0.46186647,25.858274,2.0020406,-58.02781677246094,-54.915848,31119.707,-4.179039056397758,155,15600
-54.43974304199219,-52.476974,19627.684,6.018624,0.38182372,16.52968,1.7471426,-57.19095230102539,-54.112114,30788.367,-12.075530076799186,158,15900
-54.18963623046875,-52.312553,18770.812,4.2659597,0.31410474,22.400833,1.5113951,-57.39082336425781,-54.349876,30409.453,-74.19401076027737,161,16200
-54.3155517578125,-52.53686,17786.918,7.538066,0.3183754,16.849918,2.6109567,-57.7274284362793,-54.732548,29948.797,38.989323227017,164,16500
-54.0312614440918,-52.33094,17003.203,4.515049,0.31636792,10.823244,1.2728854,-56.3425407409668,-53.405052,29374.883,-36.112606838046425,167,16800
-53.93267822265625,-52.32253,16101.51,3.995523,0.3558864,9.724409,3.4723,-57.696529388427734,-54.818993,28775.352,-32.193214661900676,170,17100
-53.73692321777344,-52.224857,15120.674,3.4351778,0.26758412,21.247389,2.9446886,-58.075477600097656,-55.2417,28337.8,-61.97861682725902,173,17400
-53.6695442199707,-52.25328,14162.631,4.174982,0.23559946,10.024785,1.3410265,-56.194549560546875,-53.397133,27974.176,-77.09910730092004,176,17700
-54.11681365966797,-52.733967,13828.473,5.351036,0.8283641,9.792485,1.1983356,-56.04774856567383,-53.28486,27628.895,25.740896413045263,179,18000
-53.72734451293945,-52.354008,13733.383,3.770113,0.42495322,7.795814,1.4761171,-56.06510925292969,-53.33772,27273.914,-12.661327302632165,182,18300
-53.57086181640625,-52.227173,13436.893,3.3773346,0.2767821,5.8701572,0.7332336,-55.394447326660156,-52.704723,26897.234,-31.914854373102266,185,18600
-53.51482391357422,-52.218838,12959.875,3.1201353,0.2901919,7.7229548,1.2395627,-55.83036804199219,-53.172718,26576.492,45.54117704045935,188,18900
-53.40872573852539,-52.175144,12335.828,3.161999,0.22143553,8.025089,1.278749,-55.8457145690918,-53.219677,26260.383,-26.555050815371683,191,19200
-53.87331008911133,-52.66387,12094.396,9.473097,0.3125668,8.394323,1.5948911,-56.0487060546875,-53.45859,25901.164,96.67534551176014,194,19500
-53.417396545410156,-52.2357,11816.969,3.6640208,0.26071775,7.829753,1.2531338,-55.73894119262695,-53.18913,25498.125,26.51666235545526,197,19800
-54.01759338378906,-52.876102,11414.918,11.636751,0.40984362,7.041623,1.0744908,-55.53303527832031,-53.014915,25181.188,50.88360142517135,200,20100
-59.990238189697266,-57.526726,24635.127,74.657875,0.98047197,6.6062636,1.0874676,-55.488990783691406,-52.994232,24947.594,75.37287291435618,203,20400
-54.96722412109375,-52.564785,24024.39,5.9407387,0.5193714,6.238331,0.91711843,-55.31216812133789,-52.85407,24580.982,87.83560417280378,206,20700
-54.690513610839844,-52.32233,23681.828,2.9400744,0.46113664,6.3750076,0.87853813,-55.255069732666016,-52.83721,24178.574,83.00821542861927,209,21000
-54.53961181640625,-52.220764,23188.457,3.0771403,0.29733843,3.6037853,0.52110744,-54.772987365722656,-52.40782,23651.64,87.43347726945248,212,21300
-54.449928283691406,-52.199562,22503.676,2.5667048,0.31704462,4.649666,0.6022129,-54.83824157714844,-52.53348,23047.607,102.29120389880129,215,21600
-54.417606353759766,-52.254143,21634.629,2.486603,0.40572608,2.7170506,0.4391076,-54.53080749511719,-52.292336,22384.736,104.22873033823588,218,21900
-54.24609375,-52.18868,20574.158,2.744967,0.28313833,8.612189,0.85001457,-55.14725875854492,-52.96929,21779.666,64.79999146865356,221,22200
-54.09117889404297,-52.154488,19366.898,2.4230223,0.26480013,3.4141903,0.41296765,-54.44893264770508,-52.321815,21271.178,66.19578946209323,224,22500
-54.06303787231445,-52.245277,18177.59,2.7826307,0.3630163,3.633304,0.4899536,-54.455650329589844,-52.38874,20669.102,106.54062525156186,227,22800
-53.80057144165039,-52.101734,16988.375,2.2821069,0.2115777,3.9315574,0.44060582,-54.37467575073242,-52.375526,19991.488,113.1452335070015,230,23100
-53.76323318481445,-52.196854,15663.8125,2.3491411,0.3347956,6.684822,0.6969061,-54.67467498779297,-52.735268,19394.078,38.38654328200371,233,23400
