ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,AverageReturn,Epoch,SampleStep
-581055545344.0,-581055550000.0,80424.03,213358020.0,6580762.5,0,0,0,0,0,-23.794834631828873,49,5000
-23101945856.0,-23101946000.0,80097.055,38540850.0,1428877.8,0,0,0,0,0,-28.354907718677865,50,5100
-11436355584.0,-11436356000.0,79952.0,33921310.0,1930170.9,0,0,0,0,0,-20.38546208131816,53,5400
-2378856192.0,-2378856200.0,79737.11,30817014.0,1549305.0,0,0,0,0,0,-18.36081037271318,56,5700
-626764864.0,-626764860.0,79642.42,29186076.0,1570688.4,0,0,0,0,0,-11.536589017737183,59,6000
-267084720.0,-267084720.0,79583.56,26751194.0,1778421.8,0,0,0,0,0,-18.884178239150298,62,6300
-49856156.0,-49856148.0,79558.28,27571844.0,1863496.6,0,0,0,0,0,16.157540313277245,65,6600
-15921740.0,-15921732.0,79547.05,23568414.0,1875376.0,0,0,0,0,0,-0.04427470482174978,68,6900
-3052105.5,-3052097.5,79539.33,22715872.0,1656929.6,0,0,0,0,0,9.737774432547043,71,7200
-3207599.25,-3207591.2,79523.086,19262182.0,1615849.2,0,0,0,0,0,5.67034185216597,74,7500
-1998020.0,-1998012.0,79494.59,17294160.0,1223191.9,0,0,0,0,0,0.15771109677777453,77,7800
-2000216.5,-2000208.5,79466.19,14603552.0,910303.56,0,0,0,0,0,60.99650751200086,80,8100
-1240538.0,-1240530.0,79422.25,11957660.0,579220.94,0,0,0,0,0,4.373084271348822,83,8400
-1060063.375,-1060055.4,79385.79,9408743.0,518639.6,0,0,0,0,0,42.796401817582364,86,8700
-778142.25,-778134.3,79333.66,7715779.0,378281.12,0,0,0,0,0,-4.6088582182119024,89,9000
-673935.0625,-673927.1,79263.16,6160103.5,379850.12,0,0,0,0,0,15.745474659333917,92,9300
-498014.46875,-498006.56,79161.05,4863606.5,249522.48,0,0,0,0,0,2.352643913609517,95,9600
-357983.46875,-357975.56,79052.11,3604676.2,168476.1,0,0,0,0,0,-23.367651467888056,98,9900
-281996.875,-281988.97,78942.89,2769120.0,139737.88,0,0,0,0,0,-24.6747780193188,101,10200
-210569.78125,-210561.89,78853.22,1969032.5,114190.91,0,0,0,0,0,33.67215063535218,104,10500
-150556.625,-150548.75,78811.42,1508929.4,71513.14,0,0,0,0,0,-49.103056579030216,107,10800
-118703.734375,-118695.86,78781.64,1188286.6,56504.86,0,0,0,0,0,17.119393668047614,110,11100
-94899.1015625,-94891.22,78789.21,954135.1,44741.223,0,0,0,0,0,14.98220102827084,113,11400
-67157.046875,-67149.16,78871.07,736684.25,25488.783,0,0,0,0,0,21.301479708030453,116,11700
-52387.41796875,-52379.516,79007.25,569752.6,20355.205,0,0,0,0,0,33.95562526797276,119,12000
-37079.98046875,-37072.06,79206.55,422907.62,12418.176,0,0,0,0,0,-20.83517378346648,122,12300
-27152.22265625,-27144.275,79477.89,320569.25,7980.626,0,0,0,0,0,-4.008124395832905,125,12600
-20450.55078125,-20442.566,79847.016,241947.67,5938.923,0,0,0,0,0,62.819903817793985,128,12900
-15690.5966796875,-15682.572,80243.78,181335.19,4965.795,0,0,0,0,0,20.673456475736383,131,13200
-11484.822265625,-11476.754,80687.23,141401.83,2743.7263,0,0,0,0,0,36.0576390502574,134,13500
-7994.578125,-7986.457,81209.46,97837.68,1942.1406,0,0,0,0,0,15.94429673731766,137,13800
-6342.02490234375,-6333.8447,81799.47,78399.79,1443.6799,0,0,0,0,0,-27.556680376517214,140,14100
-4430.529296875,-4422.2915,82375.68,57624.53,696.292,0,0,0,0,0,3.42389281064456,143,14400
-3699.00048828125,-3690.7104,82900.08,47637.625,613.8429,0,0,0,0,0,-11.872703090460849,146,14700
-2866.63134765625,-2858.2932,83380.445,36830.668,464.3836,0,0,0,0,0,22.45945191391269,149,15000
-2178.99755859375,-2170.6104,83873.266,28258.848,305.29993,0,0,0,0,0,54.34073994881774,152,15300
-1502.8165283203125,-1494.3816,84349.65,19410.8,190.76648,0,0,0,0,0,21.87299762660242,155,15600
-1035.067138671875,-1026.5894,84777.73,12829.884,157.54959,0,0,0,0,0,20.51044433369768,158,15900
-561.881591796875,-553.3646,85169.45,6814.784,59.722687,0,0,0,0,0,-43.9629828235148,161,16200
-361.7713623046875,-353.22238,85489.766,3996.4927,45.779385,0,0,0,0,0,4.5533176256718715,164,16500
-262.2668151855469,-253.70407,85627.38,2709.8977,27.369583,0,0,0,0,0,-7.358788882080986,167,16800
-269.208984375,-260.64325,85657.41,2860.2666,22.587523,0,0,0,0,0,-6.360457747684533,170,17100
-691.2564697265625,-682.718,85384.58,8061.838,126.177124,0,0,0,0,0,-11.342826814344505,173,17400
-451.5934143066406,-443.0781,85153.21,5410.6333,37.15506,0,0,0,0,0,26.311208467202146,176,17700
-321.064208984375,-312.56906,84951.55,3572.1143,28.13932,0,0,0,0,0,-6.5049606626523016,179,18000
-231.44679260253906,-222.97491,84718.734,2312.2646,21.720953,0,0,0,0,0,-17.420898497786144,182,18300
-182.3709259033203,-173.92145,84494.75,1623.2983,18.125837,0,0,0,0,0,45.220661509417134,185,18600
-138.77395629882812,-130.34444,84295.16,1041.565,11.900588,0,0,0,0,0,-22.641229621000587,188,18900
-118.80805206298828,-110.40043,84076.23,777.7722,8.806386,0,0,0,0,0,-43.13471268452494,191,19200
-99.52936553955078,-91.14991,83794.55,496.84143,8.450827,0,0,0,0,0,9.60178119212298,194,19500
-93.407470703125,-85.06944,83380.27,427.28516,6.420686,0,0,0,0,0,-10.686534978825536,197,19800
-81.7261962890625,-73.44304,82831.61,275.05228,4.4623356,0,0,0,0,0,-33.33209783525849,200,20100
-70.3543472290039,-62.149864,82044.86,105.231064,4.7552834,0,0,0,0,0,-25.601476212675923,203,20400
-125.8161392211914,-117.716095,81000.44,893.06525,8.088249,0,0,0,0,0,-9.162172482741111,206,20700
-81.83723449707031,-73.82589,80113.42,286.57086,3.8762655,0,0,0,0,0,35.520181820066014,209,21000
-83.17526245117188,-75.25205,79232.14,298.66565,4.774384,0,0,0,0,0,23.978322679648386,212,21300
-75.01873779296875,-67.18247,78362.67,171.35115,5.5805254,0,0,0,0,0,-8.535816153277878,215,21600
-70.98966979980469,-63.237206,77524.625,133.3093,3.5543406,0,0,0,0,0,4.325187160047378,218,21900
-137.46469116210938,-129.78821,76764.91,1100.1353,5.2215643,0,0,0,0,0,-2.7058213415391115,221,22200
-87.15531921386719,-79.53369,76216.31,359.6014,5.008256,0,0,0,0,0,9.785804666727632,224,22500
-107.62684631347656,-100.043045,75838.02,674.50415,3.8269424,0,0,0,0,0,-34.12092063890146,227,22800
-67.8657455444336,-60.316868,75488.81,96.899124,2.8796513,0,0,0,0,0,-27.92824112415003,230,23100
-67.12400817871094,-59.609276,75147.33,79.868004,3.537075,0,0,0,0,0,11.462729340651629,233,23400
-66.56849670410156,-59.090042,74784.55,79.39905,2.8166375,0,0,0,0,0,43.47589331022101,236,23700
-67.16578674316406,-59.726997,74387.92,83.766205,3.3212273,0,0,0,0,0,3.243744822049448,239,24000
-67.08856964111328,-59.692543,73960.26,86.39976,3.0069587,0,0,0,0,0,63.91384617871735,242,24300
-64.22846221923828,-56.877487,73509.734,39.620514,3.5247574,0,0,0,0,0,18.62598059695442,245,24600
-76.94290924072266,-69.63188,73110.25,204.87326,5.848079,0,0,0,0,0,-7.564400709643884,248,24900
-64.8863525390625,-57.61295,72734.016,55.104374,3.0632496,0,0,0,0,0,53.90911435960907,251,25200
-63.41504669189453,-56.190353,72246.914,34.85208,2.9861488,0,0,0,0,0,-25.01366733501437,254,25500
-62.25980758666992,-55.094193,71656.15,27.047207,2.1467147,0,0,0,0,0,-43.60337437846893,257,25800
-62.448394775390625,-55.363274,70851.195,34.1594,1.833144,0,0,0,0,0,-20.36185339362738,260,26100
-116.82811737060547,-109.81525,70128.7,809.1068,4.808132,0,0,0,0,0,8.717868784664825,263,26400
-80.0325698852539,-73.06019,69723.84,278.0388,3.5979013,0,0,0,0,0,36.79033295614883,266,26700
-70.42289733886719,-63.499702,69231.94,140.82193,3.1909971,0,0,0,0,0,3.8585853786121285,269,27000
-68.98551177978516,-62.12647,68590.45,124.814026,2.7624087,0,0,0,0,0,1.082742995947516,272,27300
-65.37123107910156,-58.58059,67906.41,72.36679,2.7669907,0,0,0,0,0,-8.567718375403045,275,27600
