ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,AverageReturn,Epoch,SampleStep
-214232367104.0,-214232370000.0,81221.31,74354520.0,2793922.0,14772307.0,197934.62,-1871738112.0,-1871738100.0,80190.97,-13.341362881187193,49,5000
-18045239296.0,-18045240000.0,80787.17,27525106.0,329467.9,13949936.0,443387.62,-214648448.0,-214648430.0,80067.42,-33.91561554273736,50,5100
-6748335616.0,-6748335600.0,80578.055,25171406.0,322487.38,13692311.0,330773.56,-2600589.75,-2600581.8,80033.06,-24.700314914434852,53,5400
-1158450816.0,-1158450800.0,80328.305,19388864.0,444003.06,15195880.0,590466.0,-2360906.0,-2360898.0,80025.12,-26.01933506300977,56,5700
-358569248.0,-358569250.0,80220.34,15187756.0,466875.6,12198703.0,347666.25,-1060776.75,-1060768.8,80016.16,-39.41452481919737,59,6000
-66788852.0,-66788844.0,80170.36,15459056.0,599280.56,10762953.0,304176.25,-934194.25,-934186.25,80009.83,-21.85650124950538,62,6300
-11063449.0,-11063441.0,80151.22,14390768.0,564821.56,12160160.0,312891.72,-1034637.5,-1034629.5,80004.45,-26.952557404502755,65,6600
-11350681.0,-11350673.0,80142.49,14738104.0,606728.56,11198547.0,200591.98,-893576.8125,-893568.8,80010.37,-18.65871985246604,68,6900
-15639289.0,-15639281.0,80136.12,13227310.0,380162.75,10297135.0,248215.19,-864805.9375,-864797.94,80025.92,-15.495864654791365,71,7200
-1615870.75,-1615862.8,80128.05,12976694.0,407400.97,10136970.0,213078.56,-830191.75,-830183.75,80003.95,-17.052873011210558,74,7500
-1065753.0,-1065745.0,80118.44,11950400.0,379850.56,8961766.0,353542.75,-845717.25,-845709.25,79980.33,-27.944478249164785,77,7800
-1008492.75,-1008484.75,80105.234,10940337.0,396237.12,8017889.0,270482.28,-725642.375,-725634.4,79934.92,-23.094790422266144,80,8100
-842879.9375,-842871.94,80083.734,9308550.0,314671.25,6567939.0,224257.4,-596248.375,-596240.4,79919.49,-20.27874064885037,83,8400
-908765.875,-908757.9,80052.734,7628442.0,279668.94,6113288.0,565290.6,-796252.375,-796244.4,79852.03,-13.444925230717791,86,8700
-621837.3125,-621829.3,80011.08,6694237.5,249443.19,4733808.0,190516.84,-449305.59375,-449297.62,79770.61,-26.05136124681312,89,9000
-575458.9375,-575450.94,79945.66,6453359.0,204992.64,4963873.5,175843.47,-454944.4375,-454936.47,79674.484,-18.02738991840954,92,9300
-505328.375,-505320.38,79858.734,5454836.0,201205.1,4033928.8,152347.77,-376118.28125,-376110.3,79573.92,-18.819660802938472,95,9600
-428684.0625,-428676.1,79748.7,4644956.0,165937.62,2882953.8,118385.88,-275253.28125,-275245.34,79442.49,-22.91269578231539,98,9900
-338680.09375,-338672.12,79606.01,3792637.0,121150.375,1931977.8,66321.63,-175672.34375,-175664.4,79360.195,-17.51620416902456,101,10200
-30102.681640625,-30095.05,76302.42,324302.44,11965.161,1967482.8,77570.5,-185686.6875,-185678.77,79267.33,-1.1681689525202708,104,10500
-22944.240234375,-22936.742,74980.125,246426.38,9174.135,1123410.0,54386.83,-112882.4296875,-112874.516,79177.13,-23.898859186565293,107,10800
-17412.033203125,-17404.549,74840.64,181925.19,7448.715,655720.6,36410.156,-69070.59375,-69062.68,79122.49,-16.704544125221915,110,11100
-14066.2412109375,-14058.742,74993.91,148802.5,5816.5156,613251.9,29328.406,-61404.78515625,-61396.875,79118.45,-5.638672805133379,113,11400
-12392.11328125,-12384.586,75274.97,133165.56,4906.119,316971.2,20600.2,-35450.01171875,-35442.094,79163.31,-12.057436027563478,116,11700
-9962.708984375,-9955.143,75660.36,106930.44,3939.3738,292859.7,18985.123,-32725.568359375,-32717.64,79275.42,-14.675003575002558,119,12000
-7626.28076171875,-7618.673,76081.15,88224.44,2357.1138,166276.9,13597.124,-20514.095703125,-20506.15,79459.56,-14.031777637840912,122,12300
-5835.19873046875,-5827.54,76585.6,71025.45,1430.0554,72683.63,5719.6187,-8850.365234375,-8842.391,79744.94,-19.26060968132917,125,12600
-4076.978515625,-4069.2622,77162.92,48856.35,1048.5625,55232.64,3889.391,-6431.06640625,-6423.052,80147.76,-11.260291917974772,128,12900
-3145.884033203125,-3138.107,77769.93,37469.367,811.18915,38857.277,3711.079,-5202.37255859375,-5194.3105,80621.65,5.564910296914152,131,13200
-2017.235107421875,-2009.3916,78434.55,23546.285,535.46985,22392.928,2512.7847,-3277.46337890625,-3269.3486,81146.67,-26.227831253209555,134,13500
-1495.203369140625,-1487.3002,79032.52,16971.54,421.39185,11503.803,1167.8945,-1630.6287841796875,-1622.4521,81765.89,-11.784063483335775,137,13800
-1066.4764404296875,-1058.508,79683.44,11761.711,308.70093,7388.143,683.2709,-1024.2691650390625,-1016.0218,82473.44,-8.782003822189884,140,14100
-679.0850830078125,-671.0449,80401.85,7259.6963,186.30492,6646.4375,617.9072,-929.9295043945312,-921.60223,83272.91,-4.6195407356016265,143,14400
-486.8983154296875,-478.78162,81166.89,5186.4185,109.503815,3648.8765,343.1744,-541.2698364257812,-532.85913,84106.81,-24.21734879934597,146,14700
-367.0858154296875,-358.90234,81834.73,3906.148,60.371872,3507.3633,279.97162,-489.0157165527344,-480.5155,85001.99,-10.644814739739987,149,15000
-454.76983642578125,-446.53052,82393.14,5218.509,58.633667,1045.7749,152.44063,-236.2417449951172,-227.64838,85933.734,3.0345212881327512,152,15300
-195.6810302734375,-187.4016,82794.29,1580.02,39.538963,1211.4298,166.4155,-256.9989013671875,-248.31433,86845.72,-26.856957502796256,155,15600
-154.0694122314453,-145.75523,83141.78,1125.5519,23.440329,543.8308,53.75155,-135.67080688476562,-126.90243,87683.84,1.992238133068685,158,15900
-124.56484985351562,-116.22462,83402.34,731.8152,19.173317,1755.5165,42.39069,-210.0330047607422,-201.20671,88262.91,-19.477325995406794,161,16200
-100.80797576904297,-92.45491,83530.65,432.27213,14.000484,325.18494,20.991022,-98.76879119873047,-89.9389,88298.84,-32.23514740763115,164,16500
-93.62730407714844,-85.29841,83288.92,372.16022,9.435718,272.9057,18.607595,-93.62381744384766,-84.78848,88353.32,-31.41785211142967,167,16800
-80.41536712646484,-72.12309,82922.73,212.77054,5.904049,128.86992,13.760012,-80.58876037597656,-71.76167,88270.84,-15.044137871724676,170,17100
-78.37103271484375,-70.132904,82381.28,186.37643,5.602336,120.848755,13.95382,-80.1438217163086,-71.35005,87937.69,-31.33868997463062,173,17400
-73.99920654296875,-65.83232,81668.9,144.10779,3.473754,68.79854,9.240789,-73.367431640625,-64.63874,87286.875,-28.83179846549786,176,17700
-84.67317199707031,-76.5968,80763.734,298.97095,3.8953066,53767.598,159.65096,-3808.704833984375,-3800.0886,86163.16,-4.472177960076081,179,18000
-108.98689270019531,-101.0134,79734.945,651.2844,4.7470818,6561.587,301.70508,-710.4570922851562,-701.89404,85630.5,-23.30849546369081,182,18300
-81.4059829711914,-73.5217,78842.86,229.9859,6.249388,4099.286,221.63618,-489.6391906738281,-481.09528,85439.086,-7.352554569296434,185,18600
-96.55042266845703,-88.74419,78062.336,460.94995,5.6489606,1647.6052,98.44763,-240.3590545654297,-231.83704,85220.195,-18.81274422346653,188,18900
-76.5904312133789,-68.855545,77348.86,187.3912,3.6131768,2749.7732,136.18329,-340.4572448730469,-331.95297,85042.84,-24.92264395551573,191,19200
-72.75220489501953,-65.09599,76562.125,126.469185,4.1494684,1195.2263,104.92938,-214.09991455078125,-205.61166,84882.45,-24.168477225708887,194,19500
-70.7271499633789,-63.147293,75798.56,114.46782,2.4697945,760.13245,40.28689,-140.89988708496094,-132.42783,84720.61,-4.5647724887064705,197,19800
-68.28874969482422,-60.78849,75002.61,85.16473,1.9142352,841.1161,206.58148,-258.8862609863281,-250.43542,84508.336,-28.7081929719981,200,20100
-75.19976043701172,-67.14148,80582.79,137.0443,6.114789,948.7453,88.08247,-185.96409606933594,-177.53299,84311.07,1.154592987551558,203,20400
-263.53753662109375,-255.97467,75628.72,271.52835,271.7262,371.813,33.73257,-110.12693786621094,-101.71602,84109.17,-12.267887820001782,206,20700
-96.72891235351562,-89.21738,75115.36,199.3201,32.51123,726.963,27.992065,-130.2552947998047,-121.863716,83915.805,-22.474090212065448,209,21000
-83.22750854492188,-75.74315,74843.56,168.01648,15.729216,1765.2117,27.618416,-200.23751831054688,-191.86671,83708.07,-24.426551569143573,212,21300
-77.50790405273438,-70.04985,74580.516,94.23729,14.6935215,948.4787,31.383678,-147.48806762695312,-139.1482,83398.74,-18.529128473771557,215,21600
-70.1871337890625,-62.755882,74312.5,67.039566,6.634179,2873.3423,57.97338,-295.70233154296875,-287.39178,83105.484,-28.545945688117932,218,21900
-67.64952850341797,-60.25186,73976.66,55.76407,4.0612593,990.61224,117.466064,-208.53042602539062,-200.24919,82812.28,-16.49926432979188,221,22200
-65.1362533569336,-57.780094,73561.56,27.663948,3.2184641,524.80664,49.21929,-130.7978515625,-122.54823,82496.15,-5.860225738373444,224,22500
-63.95060729980469,-56.647053,73035.55,19.454449,2.3649974,234.4182,10.7450905,-85.07234954833984,-76.863754,82085.984,-5.331400682766179,227,22800
-63.16942596435547,-55.93585,72335.76,15.126304,1.7467877,134.13737,10.203799,-77.8653564453125,-69.711716,81536.39,-7.4599703457169415,230,23100
