time_sampling,AverageReturn,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,time_VF,VF_error_before,VF_error_after,Epoch
0.655025721,-63.16833676,8.98548734,-49.04981472,-73.31145224,5.099857243,1,0.00178504,0.02838707,0.6467015,0.13891579,-63.16833676,0.060788631,0.997703077,0.97144182,1
0.700882673,-62.98337892,3.223676801,-60.03837632,-68.38952065,5.728322056,1,0.001928091,0.052811861,0.6834673,0.10650214,-63.14984098,0.048730612,0.970227187,0.925007403,2
0.588382006,-41.57541082,23.63662451,-20.27410001,-78.22805264,6.565887606,1,0.025854588,0.048300028,0.48314023,0.1456041,-60.99239796,0.036077023,0.927294543,0.868661744,3
0.647555828,-53.63675252,27.98028453,-14.66971333,-80.78806959,7.111862741,1,0.001882553,0.016152143,0.7113963,0.0784692,-60.25683342,0.060414076,0.872011139,0.781226522,4
0.777168512,-22.32864602,9.019090855,-6.863366254,-29.44794697,5.296147726,1,0.001988411,0.020528555,0.64484656,0.15426782,-56.46401468,0.031270504,0.660013988,0.579720082,5
0.650952339,-15.87364691,4.387901736,-9.624267009,-20.23848932,6.754194316,1,0.001743317,0.018153667,0.5784266,0.15801917,-52.4049779,0.046110392,0.826574223,0.851004268,6
0.579014778,-13.04174788,15.33804292,7.070573564,-36.09572222,5.978001379,1,0.001728535,0.018242359,0.6216599,0.15773791,-48.4686549,0.017710447,0.934666009,0.903697572,7
0.60286355,-9.855873439,4.494871578,-4.948820057,-17.10720755,4.772659514,1,0.001715899,0.016091108,0.43023753,0.43894398,-44.60737675,0.065053225,0.919513483,0.838986903,8
0.604362488,-13.86212922,7.273508288,-6.386434474,-23.15410345,6.917390333,1,0.0022192,0.017870188,0.4449558,0.13614674,-41.532852,0.073426008,0.508885765,0.513638551,9
0.745956421,-15.98327283,10.85779304,1.218094744,-28.75210426,6.777577279,1,0.001726627,0.018347979,0.5134849,0.13875265,-38.97789408,0.026368141,0.461500305,0.439400565,10
0.718066454,-1.709650449,9.435340947,10.32471427,-11.95872582,5.663089464,1,0.001731396,0.019272804,0.69745374,0.12548159,-35.25106972,0.028718948,1.163271236,1.140339532,11
0.613068342,-14.89868687,12.41453052,-5.004300266,-36.17214079,7.529323512,1,0.001837254,0.017862797,0.6952984,0.15455231,-33.21583143,0.065988064,0.725849258,0.721162032,12
0.507829189,-7.163633786,27.75260708,22.48032189,-35.68724731,4.889367986,1,0.002119303,0.018482924,0.61218953,0.21162069,-30.61061167,0.031046391,0.961167932,0.954848505,13
