time_sampling,AverageReturn,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,time_VF,VF_error_before,VF_error_after,Epoch
0.376168251,-54.75548843,21.96026875,-10.96282999,-90.59919217,9.913190095,1,0.002733469,0.02667737,0.66389567,0.08660029,-54.75548843,0.038080692,0.999802,0.887749494,1
0.373347998,-9.300374413,19.70164983,22.23794423,-51.21579016,8.170592241,1,0.002677917,0.026528597,0.67421514,0.11408711,-50.20997703,0.039215088,0.982947896,0.994304363,3
0.380660534,0.799884769,22.63120926,38.40208026,-28.93740188,8.955181416,1,0.00268054,0.026990414,0.5918831,0.108142205,-45.10899085,0.038602829,1.103759953,1.046194301,5
0.369898319,0.803965106,12.28300942,16.85768106,-22.82838669,10.26906377,1,0.002666235,0.026653528,0.6339129,0.046897274,-40.51769525,0.039362431,1.050781342,1.02255501,7
0.370144367,1.032091316,24.16311899,26.74704926,-45.82382349,7.981194731,1,0.00272131,0.026688576,0.5767655,0.12637071,-36.36271659,0.039560318,0.984675772,0.981693601,9
0.377661467,16.78516464,14.36054288,39.37531336,-2.017394032,16.01318748,1,0.002645254,0.026660204,0.5626711,0.050340913,-31.04792847,0.038010359,1.14356565,1.03850654,11
0.377850294,23.74086325,15.19426927,59.45102323,2.878651441,10.69086784,1,0.002743959,0.026655436,0.59113723,0.07498649,-25.5690493,0.037904501,1.035211278,0.969686729,13
0.36950469,21.33659399,17.82560723,43.53273612,-16.30030129,7.367349988,1,0.002729893,0.0267241,0.6338465,0.09748585,-20.87848497,0.038044453,0.976224818,0.909860784,15
0.372638464,30.25374266,13.50157317,56.42877477,9.454200235,9.155518563,1,0.00286746,0.026827097,0.5079379,0.11831684,-15.76526221,0.038696527,0.897131918,0.677366162,17
0.370239496,24.31819839,9.101825074,34.11265345,6.745244814,8.438799292,1,0.002668381,0.026522398,0.702745,0.08356993,-11.75691615,0.037896633,0.609746549,0.429742623,19
0.369939566,32.89006091,17.16216745,61.95065714,5.867114353,7.344889625,1,0.002683878,0.026556253,0.5703945,0.14427207,-7.292218441,0.038630962,0.574545654,0.518967979,21
0.370552778,40.4997855,13.45887354,63.40149518,17.32261833,8.517516883,1,0.002662659,0.026540041,0.59099,0.07061418,-2.513018047,0.040796041,0.384478269,0.333291486,23
0.380317926,31.22380799,13.01395653,54.05764868,7.708572039,9.049465607,1,0.002708197,0.027163982,0.6230571,0.107802294,0.860664557,0.038755655,0.449463231,0.381026942,25
0.371120691,30.63153592,11.99564661,56.83792643,14.04734467,9.539776748,1,0.002728701,0.023548603,0.46937668,-0.14937995,3.837751693,0.039006233,0.410821378,0.39950797,27
0.378855228,20.26967773,9.9710423,38.90010992,5.479357535,11.03041156,1,0.002765417,0.026590824,0.66685563,0.08494283,5.480944296,0.038225174,0.784623917,0.512442837,29
0.372014523,24.6482273,8.87071583,42.42957225,13.81399636,7.859739597,1,0.002713442,0.026712179,0.58637196,0.11470748,7.397672597,0.038190842,0.434335533,0.428709531,31
0.378312826,42.13486087,11.55116759,62.24348259,19.33310743,10.03248956,1,0.002626181,0.02658987,0.5583595,0.105591685,10.87139142,0.038391113,0.475176058,0.294415024,33
0.371369362,50.65307591,13.46468997,72.92811043,30.58292026,12.5463531,1,0.002687454,0.026530266,0.47418112,0.07571222,14.84955987,0.038162708,0.338619427,0.264856841,35
0.3793571,46.76503502,17.65320268,87.25801526,24.21561698,10.10746712,1,0.002804279,0.026779175,0.45354497,0.2233315,18.04110739,0.039815426,0.306682415,0.292800814,37
0.371121883,40.56255995,14.26274576,68.83932379,22.53221913,10.19056825,1,0.002972364,0.026690722,0.5876544,0.05697152,20.29325264,0.038156748,0.342548578,0.303028449,39
0.37798357,24.46679793,6.97496596,33.23427325,8.99730196,9.329424807,1,0.002686262,0.027461052,0.5711907,0.09462934,20.71060717,0.040070772,0.725527662,0.344726852,41
0.3714993,18.78222835,5.451051205,32.02043663,12.55858297,10.0434692,1,0.002913475,0.028096676,0.45644185,0.13967799,20.51776929,0.040650845,0.74786831,0.417568906,43
0.382895708,27.25684078,9.530250347,45.34653381,14.52002942,7.385027802,1,0.002691269,0.026480436,0.48782682,0.14422551,21.19167644,0.037894964,0.394589559,0.347316072,45
0.369799852,37.20949484,8.740632228,52.1631828,26.60462187,7.186591886,1,0.002720356,0.027705908,0.41726637,0.073251426,22.79345828,0.038509607,0.340439639,0.211998395,47
0.3766222,37.02499424,9.934518045,53.3353281,26.24377121,12.3368217,1,0.002842426,0.026633501,0.42315134,0.14339392,24.21661188,0.039495945,0.230908489,0.217224363,49
0.37345767,40.66391342,18.49503186,75.3617107,18.00278329,10.86492454,1,0.002792597,0.026645422,0.4803178,0.08065813,25.86134203,0.038158417,0.335150252,0.329329125,51
0.377863646,34.05302824,13.3606327,57.05637321,13.03093394,7.148917383,1,0.002850533,0.026968479,0.6904384,0.08400883,26.68051065,0.038194656,0.406059847,0.350693918,53
0.371925116,48.65180997,13.42408181,68.06204824,23.89093885,7.978700649,1,0.002693176,0.029830217,0.41560635,0.11365822,28.87764058,0.038437843,0.340283016,0.260602481,55
0.372354984,32.98980441,13.78317508,56.1581466,15.06340745,10.05157205,1,0.002736092,0.026583195,0.56339693,0.08259976,29.28885697,0.038084984,0.474663129,0.309533139,57
0.370303869,44.32967965,9.991850633,60.04125655,31.38277239,9.348151692,1,0.002734423,0.026495457,0.53998905,0.09471186,30.79293923,0.037841082,0.246902055,0.194706817,59
0.369915724,42.56729896,15.37593807,65.89798534,8.753875656,7.367913153,1,0.002663136,0.027012825,0.38259855,0.077636205,31.97037521,0.040294647,0.253061302,0.249534121,61
0.371493578,38.54017001,12.10277695,63.96156657,14.34369697,12.08141406,1,0.002722025,0.026562214,0.63335913,0.08001532,32.62735469,0.038170576,0.248370905,0.23138097,63
0.369892359,39.69142456,7.497454569,56.35506954,29.08422859,6.247493656,1,0.002635479,0.029717684,0.60179466,0.14183755,33.33376167,0.037842035,0.231739892,0.227251602,65
0.370178223,39.64084077,15.53779813,69.01001569,16.68494684,7.755428359,1,0.002727747,0.029599667,0.72910464,0.088182986,33.96446958,0.037978411,0.281158626,0.276639056,67
0.371325731,38.45764342,10.74450265,58.3732888,26.2303321,10.21240445,1,0.002665281,0.026593208,0.52110785,0.08767418,34.41378697,0.038037539,0.244536434,0.239239225,69
0.372836113,42.30024819,11.13317782,65.54768078,27.5140598,9.403143827,1,0.002948046,0.02676487,0.5367078,0.08105019,35.20243309,0.038112402,0.209449679,0.19313712,71
0.369244337,37.39040555,9.28588758,53.0560442,26.60814608,9.048972851,1,0.002671719,0.026778936,0.5267233,0.16557573,35.42123033,0.040050745,0.219717488,0.201991519,73
0.380358934,34.38335621,11.7110888,51.6659961,10.58565067,8.349068327,1,0.002791882,0.02676034,0.5228174,0.13218069,35.31744292,0.038042784,0.28106008,0.263589158,75
0.377892256,43.88199922,13.53563017,62.94831167,22.37983518,10.34791267,1,0.002644777,0.026760817,0.42587644,0.034772884,36.17389855,0.038291454,0.247647058,0.210499721,77
0.370337725,36.10801521,9.880920403,51.01814436,22.76429991,8.076551556,1,0.002635956,0.029589176,0.5099955,0.14330424,36.16731022,0.038323164,0.227844753,0.201850048,79
0.371953487,46.68673515,9.08504309,59.82230733,32.60911286,12.44423742,1,0.002873421,0.027231216,0.65334755,0.06482122,37.21925271,0.039130688,0.213775458,0.182812484,81
