time_sampling,AverageReturn,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,time_VF,VF_error_before,VF_error_after,Epoch
0.327335596,-55.99490882,25.81873274,-8.850915146,-102.8237722,11.15161975,1,0.002521038,0.026952028,0.67817473,0.06817776,-55.99490882,0.036782026,0.996665311,0.87181444,1
0.282525539,-18.77059375,24.79222848,30.17461544,-50.94604443,9.427931401,1,0.002411604,0.034194946,0.5899893,0.1954225,-52.27247731,0.045322895,0.907356143,0.856365899,2
0.378163576,-33.61565367,25.62536303,2.937863162,-85.89819917,8.537475815,1,0.002580643,0.027886152,0.5614832,0.10778618,-50.40679495,0.048577309,0.773155947,0.591667367,3
0.284821272,-13.6054332,22.46001677,21.0354609,-45.28705661,10.24692452,1,0.002439976,0.027014971,0.47841042,0.079964,-46.72665877,0.036664009,1.517734766,1.017866575,4
0.291533232,-1.645693794,29.76553887,63.97909481,-44.72600836,11.85735595,1,0.002444506,0.027293205,0.5121798,0.11856567,-42.21856227,0.041088343,1.202371222,1.051868399,5
0.285074234,-10.34390838,21.60125723,39.5371746,-33.74484284,8.491222063,1,0.002454519,0.029056549,0.50433844,0.13802,-39.03109688,0.05068469,0.994180014,0.983970768,6
0.306569576,-2.665716238,23.99686543,30.33682943,-51.89041926,7.970962129,1,0.002458334,0.027349472,0.6563152,0.06859401,-35.39455882,0.051763773,0.98864411,0.987127152,7
0.283179998,17.41728009,22.56040078,57.1026971,-13.7147601,8.453057732,1,0.002429247,0.026970387,0.70016915,0.116452456,-30.11337493,0.039522171,1.143149839,1.009019696,8
0.284033298,37.45807578,13.38660758,52.07145999,15.2163423,9.547721511,1,0.002432823,0.030292511,0.5386019,0.080809504,-23.35622986,0.039547682,1.009989033,0.904334754,9
0.284358025,36.16964496,21.31328874,65.54935339,-16.27684439,13.14518611,1,0.002532721,0.027774811,0.42915973,0.07612818,-17.40364238,0.036731958,0.910993614,0.805953823,10
0.284793139,25.84233007,23.88364761,59.52431462,-22.93718945,8.739915681,1,0.002456427,0.030045509,0.6977565,0.050099302,-13.07904513,0.072273016,0.820183452,0.69239095,11
0.370340347,37.59210656,19.62640398,79.25936792,13.69076146,13.28154085,1,0.002352953,0.030873537,0.48160377,0.075817876,-8.011929962,0.037520409,0.649565389,0.428622831,12
